# This is the Power Spectrum computation of 
# The following parameters were used for this computation: 
# 	 h_0 = 0.7 	 	 EVERYTHING IS MEASURED WITHOUT h_0!
# 	 z_min = 0.05 	 z_max = 0.2 	 z_eff = 0.15046
# 	 s_min = 148.192 	s_max = 571.702 	 s_eff = 435.375
# 	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
# The comoving distances s are measured in Mpc/h_0.
#
# For this PS computation we set: 
# 	 int_s_min = 0.01 	 int_s_max = 1143.4044841823932 
# 	 #points used in Fourier transform N = 128
# 	 multipole degree in consideration L = 0
# computational time needed (in s) : 2.6808
# kwards passed: none

k 	 P
0.0008745811423986705 	 -0.13190292095548226
0.0009578936528337387 	 0.3985901362128122
0.0010491425045166378 	 0.00919647110352404
0.0011490837125052872 	 0.30481031845257467
0.0012585453097749258 	 0.09124431924677318
0.0013784342076375712 	 0.2572137870182918
0.001509743709684336 	 0.14399786035483736
0.0016535617415051266 	 0.237310882889965
0.001811079864370595 	 0.182234912913871
0.0019836031475565217 	 0.23601394852678967
0.0021725609811048072 	 0.21483920642777768
0.002379518918606973 	 0.24861296122993537
0.0026061916481300135 	 0.2475244004342336
0.0028544571987513235 	 0.2726157551371687
0.003126372500406686 	 0.28372466441624067
0.0034241904259678007 	 0.3061760819897715
0.003750378456746381 	 0.32449941528169923
0.004107639126072258 	 0.3464610094150422
0.004498932410324655 	 0.3676701156987941
0.004927500252930828 	 0.3878454343868905
0.005396893424518295 	 0.40665043589465827
0.005911000941762443 	 0.4206082649015701
0.006474082288670561 	 0.43039020194030597
0.007090802707262078 	 0.4321305992167303
0.007766271850035447 	 0.4270982114002453
0.008506086114465029 	 0.4132070056981363
0.009316375010277878 	 0.393162851533822
0.010203851943672557 	 0.36758279698036767
0.01117586983923747 	 0.3399197686499912
0.012240482060407454 	 0.31103226744990126
0.013406509133196891 	 0.281702219172478
0.01468361182602875 	 0.25043989550611606
0.01608237119114078 	 0.21685976592264425
0.017614376230727823 	 0.18244058327457005
0.019292319914151982 	 0.15048946794436419
0.021130104341742343 	 0.12279304245103707
0.023142955926487605 	 0.0981850291285162
0.025347551547925003 	 0.07610458763246092
0.027762156723435755 	 0.05764533901143757
0.030406776941724105 	 0.04307212664733292
0.0333033234123081 	 0.031417835461627554
0.03647579460428997 	 0.022992649532025265
0.03995047507849125 	 0.01832342841736993
0.043756153260316864 	 0.01650939481833833
0.04792435995763996 	 0.015553589150427625
0.052489629599876075 	 0.014086715581696592
0.05748978636266517 	 0.011046186779834486
0.06296625754876138 	 0.0077915893295988125
0.06896441682155424 	 0.005828087653810084
0.07553396013498083 	 0.004938360203732759
0.08272931747448202 	 0.0038461953507005317
0.09061010382036125 	 0.0028574189906611785
0.09924161306986587 	 0.0026004036294695965
0.10869535901023654 	 0.0023014079078889126
0.11904966782479356 	 0.0012373651854378405
0.1303903270410922 	 0.0007826175389912094
0.14281129629781458 	 0.0012162738991873473
0.15641548581924114 	 0.0007831692138050883
0.1713156090471229 	 0.0004034448202357768
0.18763511649417747 	 0.0003952983908579086
0.20550921855637408 	 0.00024626569510630434
0.22508600575821391 	 0.0002095694568866987
0.2465276757124591 	 0.00012157925081891968
0.27001187695992324 	 0.00010313002849730094
0.29573318082330063 	 0.00013586183141059332
0.3239046934696434 	 7.516863630676076e-5
0.3547598215377449 	 3.3295382517323737e-5
0.3885542059590058 	 1.6280610250660758e-5
0.42556783999388337 	 5.7080511070314604e-5
0.4661073890322708 	 1.6967800676595394e-5
0.51050873137783 	 1.389016765510384e-6
0.5591397410671759 	 2.2767495773616934e-5
0.6124033357801358 	 1.041735425517491e-6
0.6707408150936288 	 8.157207388770118e-6
0.7346355167372655 	 3.62830142300463e-6
0.8046168211434908 	 2.150010067187039e-6
0.8812645374707553 	 2.6577340257008406e-6
0.9652137074388172 	 1.1309762047211672e-6
1.0571598667768969 	 1.1427195512401054e-6
1.1578648078768472 	 5.726801557360559e-7
1.2681628913960847 	 5.287103822639546e-7
1.3889679591031598 	 2.7073357375736734e-7
1.521280905240305 	 3.397053556290791e-7
1.6661979691331923 	 8.113970937753378e-8
1.8249198177538666 	 1.2585037695671802e-7
1.998761493487686 	 -6.477800865150208e-8
2.1891633095235243 	 -9.586872592947968e-8
2.3977027831377518 	 -2.0787077057999113e-7
2.6261077057416045 	 -1.7163285566407382e-7
2.8762704579799503 	 -1.6959383029094607e-7
3.150263688484915 	 -1.8772867720171975e-7
3.4503574861859403 	 -2.14211276146215e-7
3.7790381884523776 	 -1.6714632313275755e-7
4.139028980897848 	 -1.7437689316877418e-7
4.533312459519795 	 -1.6227284394748939e-7
4.965155342106221 	 -1.2320119226688624e-7
5.4381355336484605 	 -1.0615496901588046e-7
5.95617177000248 	 -9.236532484647612e-8
6.523556085402221 	 -7.936802202089734e-8
7.144989372825051 	 -4.3819470602990885e-8
7.825620331833992 	 -3.108202094668038e-8
8.571088126587346 	 -2.0086337635931288e-9
9.387569107446062 	 8.233763851882777e-9
10.28182798327659 	 1.793969297755476e-8
11.261273868422188 	 2.581712909514128e-8
12.334021668702814 	 2.0916604415383367e-8
13.508959315039275 	 1.2685043988700969e-8
14.795821401745574 	 4.080347609556078e-9
16.205269839597253 	 -7.306873514836188e-9
17.74898219190303 	 -9.042534428242736e-9
19.439748425461623 	 -7.863662316172635e-9
21.291576878004584 	 -7.095990484239384e-11
23.319810320087228 	 4.7332941727458245e-9
25.541253073023274 	 4.650335338069869e-9
27.974310236061207 	 -7.815454963930683e-10
