# This is the Power Spectrum computation of 
# The following parameters were used for this computation: 
# 	 h_0 = 0.7 	 	 EVERYTHING IS MEASURED WITHOUT h_0!
# 	 z_min = 0.05 	 z_max = 0.2 	 z_eff = 0.15046
# 	 s_min = 148.192 	s_max = 571.702 	 s_eff = 435.375
# 	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
# The comoving distances s are measured in Mpc/h_0.
#
# For this PS computation we set: 
# 	 int_s_min = 0.01 	 int_s_max = 1143.4044841823932 
# 	 #points used in Fourier transform N = 128
# 	 multipole degree in consideration L = 0
# computational time needed (in s) : 4.3523
# kwards passed: none

k 	 P
0.0008745811423986705 	 410.3325122256537
0.0009578936528337387 	 408.2448573451457
0.0010491425045166378 	 405.84839331414963
0.0011490837125052872 	 403.5579408449706
0.0012585453097749258 	 401.3663932003458
0.0013784342076375712 	 398.6974271944565
0.001509743709684336 	 395.1595128282652
0.0016535617415051266 	 390.8343974452935
0.001811079864370595 	 385.9557010447992
0.0019836031475565217 	 380.2215802149488
0.0021725609811048072 	 373.3230598866012
0.002379518918606973 	 365.2856457352411
0.0026061916481300135 	 355.9239366695972
0.0028544571987513235 	 345.00723604082776
0.003126372500406686 	 332.4566191601966
0.0034241904259678007 	 318.0929386401362
0.003750378456746381 	 301.86498535270516
0.004107639126072258 	 283.744525499129
0.004498932410324655 	 263.84196542339043
0.004927500252930828 	 242.37357475239241
0.005396893424518295 	 219.73606283089546
0.005911000941762443 	 196.4642475668749
0.006474082288670561 	 173.24950262650069
0.007090802707262078 	 150.84479295852296
0.007766271850035447 	 130.00355683233124
0.008506086114465029 	 111.33559547553595
0.009316375010277878 	 95.19775299164282
0.010203851943672557 	 81.57648197362745
0.01117586983923747 	 70.08352175597962
0.012240482060407454 	 60.120791023083655
0.013406509133196891 	 51.19572453224998
0.01468361182602875 	 43.166738180848014
0.01608237119114078 	 36.132442760737746
0.017614376230727823 	 30.117057900540573
0.019292319914151982 	 24.87437375427825
0.021130104341742343 	 20.159338742205744
0.023142955926487605 	 16.052543657245163
0.025347551547925003 	 12.736604734245692
0.027762156723435755 	 10.065268560205366
0.030406776941724105 	 7.88176755699771
0.0333033234123081 	 6.191109918053816
0.03647579460428997 	 4.855505617540114
0.03995047507849125 	 3.738361568789841
0.043756153260316864 	 2.8443979873402747
0.04792435995763996 	 2.146928820259188
0.052489629599876075 	 1.6375063000801253
0.05748978636266517 	 1.264455871015892
0.06296625754876138 	 0.9773429768881662
0.06896441682155424 	 0.7547218834085715
0.07553396013498083 	 0.5817419951007587
0.08272931747448202 	 0.42768166784565925
0.09061010382036125 	 0.2975358584051502
0.09924161306986587 	 0.20494949508250168
0.10869535901023654 	 0.14952757076841333
0.11904966782479356 	 0.1187237083507961
0.1303903270410922 	 0.08972309965655442
0.14281129629781458 	 0.060329022268403705
0.15641548581924114 	 0.04218143777469321
0.1713156090471229 	 0.03143915427980168
0.18763511649417747 	 0.02164501286563292
0.20550921855637408 	 0.016378101587776122
0.22508600575821391 	 0.010704147124111748
0.2465276757124591 	 0.007773569843944272
0.27001187695992324 	 0.005548750225700657
0.29573318082330063 	 0.003720662639728812
0.3239046934696434 	 0.002727801439273902
0.3547598215377449 	 0.0018028644022761884
0.3885542059590058 	 0.0013040573789390067
0.42556783999388337 	 0.0008589475220643719
0.4661073890322708 	 0.0006261675052704368
0.51050873137783 	 0.00040527349605738624
0.5591397410671759 	 0.0002941212216319285
0.6124033357801358 	 0.00018999330598676873
0.6707408150936288 	 0.00013793235921176052
0.7346355167372655 	 8.754895028740044e-5
0.8046168211434908 	 6.427082622148446e-5
0.8812645374707553 	 4.010602907303024e-5
0.9652137074388172 	 2.959728490516414e-5
1.0571598667768969 	 1.8304669047156804e-5
1.1578648078768472 	 1.347378723943153e-5
1.2681628913960847 	 8.330345209854558e-6
1.3889679591031598 	 6.051855268625226e-6
1.521280905240305 	 3.7867470448863036e-6
1.6661979691331923 	 2.669777273791554e-6
1.8249198177538666 	 1.7216245334013853e-6
1.998761493487686 	 1.1470751126426212e-6
2.1891633095235243 	 7.81400461303252e-7
2.3977027831377518 	 4.7123952477114504e-7
2.6261077057416045 	 3.503477919578403e-7
2.8762704579799503 	 1.7663506394204488e-7
3.150263688484915 	 1.504840303556288e-7
3.4503574861859403 	 5.133756315276671e-8
3.7790381884523776 	 5.6560225563448574e-8
4.139028980897848 	 3.305542878078108e-11
4.533312459519795 	 1.2040451543226335e-8
4.965155342106221 	 -1.97760692853828e-8
5.4381355336484605 	 -9.36831795562768e-9
5.95617177000248 	 -2.6871215357583917e-8
6.523556085402221 	 -1.9629714064886882e-8
7.144989372825051 	 -2.9106061235145805e-8
7.825620331833992 	 -2.4877957956048284e-8
8.571088126587346 	 -2.9585813699807597e-8
9.387569107446062 	 -2.6610991732242076e-8
10.28182798327659 	 -2.881744173741528e-8
11.261273868422188 	 -2.75172304737002e-8
12.334021668702814 	 -2.828223922835797e-8
13.508959315039275 	 -2.6819893448261833e-8
14.795821401745574 	 -2.7063835515706266e-8
16.205269839597253 	 -2.607875638884616e-8
17.74898219190303 	 -2.5440797434144243e-8
19.439748425461623 	 -2.4136116384137094e-8
21.291576878004584 	 -2.2824599350132675e-8
23.319810320087228 	 -8.699621855079122e-9
25.541253073023274 	 2.5042973961887008e-8
27.974310236061207 	 6.349178943514346e-8
30.639140176326848 	 7.633896981504132e-8
33.55782154494264 	 7.187064359673963e-8
36.75453620308556 	 6.687974752745636e-8
40.25576957356206 	 6.29794988095222e-8
