###############
#    GaPSE    #
############### 
#
# This is the sum of all the GR effects TPCFs without window F:
# LD (16), GNC (25), GNCxLD (20), LDxGNC (20)
#
# The Cosmology considered had the following paremeters:
# 
# - Matter Power Spectrum input file: "../test/datatest/file_pk.txt"
# - Background data input file: "../test/datatest/WideA_ZA_background.dat"
# - F window function input file: "../data/F_REFERENCE_pi2.txt"
# - Integrated F window function input file: "../data/IntF_pi2_z115.txt"
#
# - Basic CosmoParams considered: 
#	 z_min = 1.0 	 z_max = 1.5
#	 θ_max = 1.5707963267948966 [rad] 	 h_0 = 0.7
#	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
#	 b = 1.0 	 f_evo = 0.0 	 s_b = 0.0
#
# - CosmoParams about the Input Power Spectrum: 
#	 fit_left_min = 1.0e-6 	 fit_right_min = 10.0 	 
#	 fit_left_max = 3.0e-6 	 fit_right_max = 20.0 	 
#
# - CosmoParams about the Input Power Spectrum Tools: 
#	 k_max = 10.0 	 fit_max = 0.5 	 N = 1024 	 
#	 con = true 	 k_min = 1.0e-8 	 fit_min = 0.05 	 
#
# - CosmoParams about the Integrated Window Function F: 
#	 ss_step = 50 	 N = 1000 	 rtol = 0.05 	 
#	 llim = 0.0 	 atol = 0.0 	 rlim = Inf 	 
#	 ss_stop = 0.0 	 trap = true 	 ss_start = 0.0 	 
#
# - Computed quantities: 
# 	 effective redshift z_eff = 1.2613556177172356 
# 	 comoving s_min = 2312.577431755554 Mpc/h_0
# 	 comoving s_max = 3054.4830200675647 Mpc/h_0
# 	 comoving s_eff = 2725.87720083235 Mpc/h_0
# 	 Volume of the survey V_survey = 3.378305693005294e10 Mpc^3/h_0^3
# 	 σ_0 = 15.593462966741178
# 	 σ_1 = 15.074895881392285
# 	 σ_2 = 100.85852368830226
# 	 σ_3 = 3735.1226181519773
# 	 (where σ_i = \int_{k_{min}}^{k_{max}}\frac{dq}{2 π^2} q^{2-i} P(q))
# 
# s [Mpc/h_0] 	 xi_ALLSUMMED_noF
1.0 	 1.8643933493480191
1.0176234579394636 	 2.773209275024
1.0355575021486711 	 2.6552674331304327
1.0538076062316843 	 2.6129728529380296
1.072379340256395 	 2.577494869219546
1.0912783724545534 	 2.542250360979417
1.1105104709517524 	 2.507175482976873
1.1300815055279045 	 2.472153449837537
1.1499974494087413 	 2.4378297218886744
1.1702643810888866 	 2.403075036959164
1.190888486187059 	 2.36920510194709
1.2118760593339681 	 2.3353513347765156
1.2332335060934831 	 2.3017282239389605
1.2549673449176588 	 2.2683122208356306
1.2770842091362153 	 2.235242960979857
1.2995908489810806 	 2.20254512655153
1.3224941336466105 	 2.169924736890595
1.3458010533861189 	 2.1375852964983126
1.3695187216453548 	 2.1055324077585937
1.3936543772335797 	 2.0737775478049585
1.4182153865329048 	 2.042296209088816
1.4432092457465677 	 2.011043564666202
1.4686435831868272 	 1.9800303903250192
1.4945261616031833 	 1.949289282701232
1.520864880551625 	 1.9187806470599524
1.5476677788056337 	 1.888528695240935
1.574943036809678 	 1.8586238747715689
1.6026989791759443 	 1.8289441969515072
1.6309440772250727 	 1.7995096296946143
1.6596869515716661 	 1.7703621500112756
1.6889363747553658 	 1.7414467736918087
1.718701273918297 	 1.7128275405850535
1.7489907335296988 	 1.6844746747757826
1.7798139981585708 	 1.6564022001698246
1.811180475295187 	 1.6286037834027205
1.8430997382223293 	 1.6010471764580454
1.8755815289371267 	 1.5737847231283142
1.908635761124385 	 1.5467955446239048
1.9422725231823168 	 1.520085505048023
1.9765020813015959 	 1.4936335963077574
2.011334882598677 	 1.4674752003708404
2.0467815583043305 	 1.4415989222921468
2.0828529270083767 	 1.4159813692360619
2.119559997961597 	 1.3906376152545963
2.156913974435843 	 1.3656042140528257
2.1949262571433543 	 1.3408733988928148
2.2336084477163447 	 1.3162812779482735
2.272972352247904 	 1.2922338041409307
2.3130299848953086 	 1.2686759770397158
2.353793571546829 	 1.2523473454079732
2.395275553553164 	 1.151270448746829
2.437488591524634 	 263.8283190627559
2.4804455691952905 	 1.179489841637789
2.5241595973551325 	 1.150325095882357
2.568644017851614 	 1.1311075531265444
2.6139124076616764 	 1.1090641533200447
2.659978583035544 	 1.0876203195336736
2.706856603713545 	 1.0663221958188862
2.75456077721725 	 1.0453771972861121
2.803105663216234 	 1.0247059994501353
2.8525060779717974 	 1.0043440126608603
2.9027770988589974 	 0.9842738053573914
