###############
#    GaPSE    #
############### 
#
# This is the sum of all the GR effects TPCFs (with window):
# LD (16), GNC (25), GNCxLD (20), LDxGNC (20)
#
# The Cosmology considered had the following paremeters:
# 
# - Matter Power Spectrum input file: "../test/datatest/file_pk.txt"
# - Background data input file: "../test/datatest/WideA_ZA_background.dat"
# - F window function input file: "../data/F_REFERENCE_pi2.txt"
# - Integrated F window function input file: "../data/IntF_pi2_z115.txt"
#
# - Basic CosmoParams considered: 
#	 z_min = 1.0 	 z_max = 1.5
#	 θ_max = 1.5707963267948966 [rad] 	 h_0 = 0.7
#	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
#	 b = 1.0 	 f_evo = 0.0 	 s_b = 0.0
#
# - CosmoParams about the Input Power Spectrum: 
#	 fit_left_min = 1.0e-6 	 fit_right_min = 10.0 	 
#	 fit_left_max = 3.0e-6 	 fit_right_max = 20.0 	 
#
# - CosmoParams about the Input Power Spectrum Tools: 
#	 k_max = 10.0 	 fit_max = 0.5 	 N = 1024 	 
#	 con = true 	 k_min = 1.0e-8 	 fit_min = 0.05 	 
#
# - CosmoParams about the Integrated Window Function F: 
#	 ss_step = 50 	 N = 1000 	 rtol = 0.05 	 
#	 llim = 0.0 	 atol = 0.0 	 rlim = Inf 	 
#	 ss_stop = 0.0 	 trap = true 	 ss_start = 0.0 	 
#
# - Computed quantities: 
# 	 effective redshift z_eff = 1.2613556177172356 
# 	 comoving s_min = 2312.577431755554 Mpc/h_0
# 	 comoving s_max = 3054.4830200675647 Mpc/h_0
# 	 comoving s_eff = 2725.87720083235 Mpc/h_0
# 	 Volume of the survey V_survey = 3.378305693005294e10 Mpc^3/h_0^3
# 	 σ_0 = 15.593462966741178
# 	 σ_1 = 15.074895881392285
# 	 σ_2 = 100.85852368830226
# 	 σ_3 = 3735.1226181519773
# 	 (where σ_i = \int_{k_{min}}^{k_{max}}\frac{dq}{2 π^2} q^{2-i} P(q))
# 
# s [Mpc/h_0] 	 xi_ALLSUMMED
1.0 	 2.709764893781407
1.0176234579394636 	 2.6738594756988006
1.0355575021486711 	 2.637630777751778
1.0538076062316843 	 2.602059092794476
1.072379340256395 	 2.5662537774093854
1.0912783724545534 	 2.5310101706953287
1.1105104709517524 	 2.496189251342627
1.1300815055279045 	 2.4613522596823367
1.1499974494087413 	 2.4271933714791025
1.1702643810888866 	 2.3926099640418306
1.190888486187059 	 2.3588199569178703
1.2118760593339681 	 2.325131668072333
1.2332335060934831 	 2.2916561448312964
1.2549673449176588 	 2.2583875536344147
1.2770842091362153 	 2.225459548713291
1.2995908489810806 	 2.1928972227887074
1.3224941336466105 	 2.16041056791817
1.3458010533861189 	 2.1282178062933728
1.3695187216453548 	 2.09630014571867
1.3936543772335797 	 2.0646766246293664
1.4182153865329048 	 2.0333331212578294
1.4432092457465677 	 2.002216299873392
1.4686435831868272 	 1.971333955516288
1.4945261616031833 	 1.9407226792410568
1.520864880551625 	 1.9103461280713343
1.5476677788056337 	 1.8802212361771349
1.574943036809678 	 1.850445415560016
1.6026989791759443 	 1.820892520086621
1.6309440772250727 	 1.79158217516675
1.6596869515716661 	 1.7625611567812016
1.6889363747553658 	 1.7337668437970486
1.718701273918297 	 1.7052711938935756
1.7489907335296988 	 1.6770397733815274
1.7798139981585708 	 1.6490848017879611
1.811180475295187 	 1.6214073521101477
1.8430997382223293 	 1.5939664448639717
1.8755815289371267 	 1.566821567152336
1.908635761124385 	 1.5399463814421623
1.9422725231823168 	 1.5133482080045206
1.9765020813015959 	 1.4870122753606674
2.011334882598677 	 1.460961273178153
2.0467815583043305 	 1.4351972142869924
2.0828529270083767 	 1.4096819041390618
2.119559997961597 	 1.384462304858921
2.156913974435843 	 1.3595247533165609
2.1949262571433543 	 1.334867854648957
2.2336084477163447 	 1.3105072099671513
2.272972352247904 	 1.2864353865271867
2.3130299848953086 	 1.2626196737320774
2.353793571546829 	 1.2391207387447576
2.395275553553164 	 1.215898236130695
2.437488591524634 	 1.2190535913837621
2.4804455691952905 	 1.170311073695232
2.5241595973551325 	 1.1479769190617342
2.568644017851614 	 1.1259247738246754
2.6139124076616764 	 1.1041606760577167
2.659978583035544 	 1.0826933155497362
2.706856603713545 	 1.0615211167568774
2.75456077721725 	 1.04064285308902
2.803105663216234 	 1.0200670010337214
2.8525060779717974 	 0.9997881162350096
2.9027770988589974 	 0.9797990742644829
2.953934068968377 	 0.9601166836822674
3.00599260178879 	 0.9407287742727493
3.0589685859727536 	 0.9216451038206209
3.1128781901857843 	 0.9028572851429986
3.167737868041197 	 0.8843660989148505
3.223564363121867 	 0.8661739473565482
3.2803747140904993 	 0.8483790888771112
3.3381862598899525 	 0.8306768728392986
3.3970166450352193 	 0.8133750290864731
3.4568838249986547 	 0.7963643689568127
3.51780607169013 	 0.779649042042253
3.579801979033751 	 0.7632215680758222
3.6428904686428605 	 0.7470878720132329
3.7070907955950605 	 0.7312368964362713
3.7724225543090033 	 0.7156746926823186
3.838905684524751 	 0.7003935562803261
3.9065604773895406 	 0.6853931459111378
3.9754075816507863 	 0.6706690391996497
4.045468009958233 	 0.6562185667124134
4.1167631452771785 	 0.6420384381907707
4.189314747414704 	 0.6281245671509746
4.263144959660941 	 0.6144720778255871
4.338276315547362 	 0.6010787330103783
4.414731745724182 	 0.5879379102400475
4.492534584958967 	 0.5750465786795551
4.571708579258576 	 0.5623992032405819
4.652277893116625 	 0.5499912817335728
4.734267116888661 	 0.5378170672600667
4.817701274297335 	 0.5258719247412693
4.902605830069813 	 0.5141496373205737
