# Matter power spectrum P(k) at redshift z=0
# for k=2.05615e-07 to 20.2282 h/Mpc,
# number of wavenumbers equal to 421
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358487894261e-04       5.840266269120e+02 
       1.422511456262e-04       6.103983002661e+02 
       1.489552355781e-04       6.379580789504e+02 
       1.559752795555e-04       6.667591017385e+02 
       1.633261680128e-04       6.968568292252e+02 
       1.710234931700e-04       7.283091374172e+02 
       1.790835820857e-04       7.611764143357e+02 
       1.875235312891e-04       7.955216592398e+02 
       1.963612430441e-04       8.314105844141e+02 
       2.056154633223e-04       8.689117195649e+02 
       2.153058215655e-04       9.080965184203e+02 
       2.254528723228e-04       9.490394677245e+02 
       2.360781388492e-04       9.918181980495e+02 
       2.472041587598e-04       1.036513596511e+03 
       2.588545318342e-04       1.083209920989e+03 
       2.710539700760e-04       1.131994915551e+03 
       2.838283501291e-04       1.182959926775e+03 
       2.972047681664e-04       1.236200020711e+03 
       3.112115973639e-04       1.291814099796e+03 
       3.258785480842e-04       1.349905019553e+03 
       3.412367308964e-04       1.410579704814e+03 
       3.573187225651e-04       1.473949264257e+03 
       3.741586351510e-04       1.540129103489e+03 
       3.917921883664e-04       1.609239035637e+03 
       4.102567853418e-04       1.681403389323e+03 
       4.295915919630e-04       1.756751112804e+03 
       4.498376199471e-04       1.835415874383e+03 
       4.710378138339e-04       1.917536157553e+03 
       4.932371420769e-04       2.003255350704e+03 
       5.164826924278e-04       2.092721830161e+03 
       5.408237718153e-04       2.186089035360e+03 
       5.663120109324e-04       2.283515534943e+03 
       5.930014737514e-04       2.385165081646e+03 
       6.209487722014e-04       2.491206654389e+03 
       6.502131862492e-04       2.601814483750e+03 
       6.808567896407e-04       2.717168058638e+03 
       7.129445815670e-04       2.837452108739e+03 
       7.465446245371e-04       2.962856557607e+03 
       7.817281887467e-04       3.093576442502e+03 
       8.185699032528e-04       3.229811793178e+03 
       8.571479142712e-04       3.371767461059e+03 
       8.975440509357e-04       3.519652897191e+03 
       9.398439988680e-04       3.673681868000e+03 
       9.841374819290e-04       3.834072108344e+03 
       1.030518452535e-03       4.001044907055e+03 
       1.079085290942e-03       4.174824623938e+03 
       1.129941013928e-03       4.355638140970e+03 
       1.183193493297e-03       4.543714247858e+03 
       1.238955684700e-03       4.739282962862e+03 
       1.297345867219e-03       4.942574785068e+03 
       1.358487894261e-03       5.153819870308e+03 
       1.422511456262e-03       5.373247113082e+03 
       1.489552355781e-03       5.601083113277e+03 
       1.559752795555e-03       5.837551002787e+03 
       1.633261680128e-03       6.082869113847e+03 
       1.710234931700e-03       6.337249483055e+03 
       1.790835820857e-03       6.600896202271e+03 
       1.875235312891e-03       6.874003643785e+03 
       1.963612430441e-03       7.156754587795e+03 
       2.056154633223e-03       7.449318257286e+03 
       2.153058215655e-03       7.751848243793e+03 
       2.254528723228e-03       8.064478385797e+03 
       2.360781388492e-03       8.387324312793e+03 
       2.472041587598e-03       8.720479972474e+03 
       2.588545318342e-03       9.064012125478e+03 
       2.710539700760e-03       9.417958951961e+03 
       2.838283501291e-03       9.782327053032e+03 
       2.972047681664e-03       1.015708821264e+04 
       3.112115973639e-03       1.054217581209e+04 
       3.258785480842e-03       1.093748091516e+04 
       3.412367308964e-03       1.134284813588e+04 
       3.573187225651e-03       1.175807133113e+04 
       3.741586351510e-03       1.218288903525e+04 
       3.917921883664e-03       1.261697968277e+04 
       4.102567853418e-03       1.305995689162e+04 
       4.295915919630e-03       1.351136497049e+04 
       4.498376199471e-03       1.397067447649e+04 
       4.710378138339e-03       1.443727771875e+04 
       4.932371420769e-03       1.491048421337e+04 
       5.164826924278e-03       1.538951570492e+04 
       5.408237718153e-03       1.587350041214e+04 
       5.663120109324e-03       1.636146678511e+04 
       5.930014737514e-03       1.685233692786e+04 
       6.209487722014e-03       1.734492032644e+04 
       6.502131862492e-03       1.783790872751e+04 
       6.808567896407e-03       1.832987196061e+04 
       7.129445815670e-03       1.881925427025e+04 
       7.465446245371e-03       1.930436986500e+04 
       7.817281887467e-03       1.978339716598e+04 
       8.185699032528e-03       2.025437265225e+04 
       8.571479142712e-03       2.071518645933e+04 
       8.975440509357e-03       2.116358114398e+04 
       9.398439988680e-03       2.159715275148e+04 
       9.841374819290e-03       2.201335166118e+04 
       1.030518452535e-02       2.240948262494e+04 
       1.079085290942e-02       2.278270734046e+04 
       1.129941013928e-02       2.313005325482e+04 
       1.183193493297e-02       2.344842743838e+04 
       1.238955684700e-02       2.373463186396e+04 
       1.297345867219e-02       2.398538199569e+04 
       1.358487894261e-02       2.419733453320e+04 
       1.422511456262e-02       2.436712427161e+04 
       1.489552355779e-02       2.449140617787e+04 
       1.559752795544e-02       2.456690610454e+04 
       1.633261680068e-02       2.459048499496e+04 
       1.710234931411e-02       2.455921281026e+04 
       1.790835819571e-02       2.447045226368e+04 
       1.875235307604e-02       2.432195625523e+04 
       1.963612410263e-02       2.411197493431e+04 
       2.056154561547e-02       2.383937168265e+04 
       2.153057978007e-02       2.350374658431e+04 
       2.254527985648e-02       2.310556177259e+04 
       2.360779239556e-02       2.264626520849e+04 
       2.472035694167e-02       2.212840553712e+04 
       2.588530063756e-02       2.155573150606e+04 
       2.710502337893e-02       2.093326742070e+04 
       2.838196692865e-02       2.026735628185e+04 
       2.971855909950e-02       1.956566064808e+04 
       3.111712272596e-02       1.883710920690e+04 
       3.257974034667e-02       1.809177333481e+04 
       3.410807158277e-02       1.734065310666e+04 
       3.570313328966e-02       1.659534898152e+04 
       3.736507297233e-02       1.586759922650e+04 
       3.909298931371e-02       1.516867119122e+04 
       4.088486880898e-02       1.450866365024e+04 
       4.273769896146e-02       1.389576507698e+04 
       4.464777682206e-02       1.333559788775e+04 
       4.661116688241e-02       1.283078687639e+04 
       4.862420590965e-02       1.238080140342e+04 
       5.068393741344e-02       1.198209091204e+04 
       5.278839290361e-02       1.162846341877e+04 
       5.493669732335e-02       1.131159596514e+04 
       5.712902823795e-02       1.102162037679e+04 
       5.936648325311e-02       1.074774348421e+04 
       6.165090911151e-02       1.047888333527e+04 
       6.398473108394e-02       1.020434066571e+04 
       6.637080412248e-02       9.914506518468e+03 
       6.881229388037e-02       9.601576984927e+03 
       7.131258753022e-02       9.260237933029e+03 
       7.387523037017e-02       8.888246574983e+03 
       7.650388296746e-02       8.486808187654e+03 
       7.920229377190e-02       8.060668859578e+03 
       8.197428290906e-02       7.617847741008e+03 
       8.482373377848e-02       7.168995473512e+03 
       8.775458992284e-02       6.726403564704e+03 
       9.077085532787e-02       6.302776465428e+03 
       9.387659684911e-02       5.909906874821e+03 
       9.707594786325e-02       5.557413028556e+03 
       1.003731125341e-01       5.251674447164e+03 
       1.037723702940e-01       4.995058040359e+03 
       1.072780802922e-01       4.785472529816e+03 
       1.108946856688e-01       4.616287605556e+03 
       1.146267175911e-01       4.476695043492e+03 
       1.184787990438e-01       4.352649200958e+03 
       1.224556484094e-01       4.228532864889e+03 
       1.265620829024e-01       4.089568545348e+03 
       1.308030219510e-01       3.924693459525e+03 
       1.351834906364e-01       3.729236185526e+03 
       1.397086233201e-01       3.506474478801e+03 
       1.443836676024e-01       3.267289467811e+03 
       1.492139887708e-01       3.027700578155e+03 
       1.542050749086e-01       2.804869585529e+03 
       1.593625428459e-01       2.612765296069e+03 
       1.646921451472e-01       2.458713357414e+03 
       1.701997783409e-01       2.341609671530e+03 
       1.758914926071e-01       2.252100532565e+03 
       1.817735031527e-01       2.174872349314e+03 
       1.878522035156e-01       2.093052637768e+03 
       1.941341810539e-01       1.993962999449e+03 
       2.006262348940e-01       1.874117060680e+03 
       2.073353966294e-01       1.740690394687e+03 
       2.142689540884e-01       1.608065331534e+03 
       2.214344785160e-01       1.490962472181e+03 
       2.288398555543e-01       1.397719646389e+03 
       2.364933204503e-01       1.326882169154e+03 
       2.444034979747e-01       1.268417232224e+03 
       2.525794476115e-01       1.209160801941e+03 
       2.610307146579e-01       1.140253826298e+03 
       2.697673879896e-01       1.062222808921e+03 
       2.788001653734e-01       9.837581090734e+02 
       2.881404273735e-01       9.148246912152e+02 
       2.978003210935e-01       8.594542698624e+02 
       3.077928552319e-01       8.135149022822e+02 
       3.181320082150e-01       7.687850672094e+02 
       3.288328515063e-01       7.200680519965e+02 
       3.399116905919e-01       6.691862891592e+02 
       3.513862266089e-01       6.220325090206e+02 
       3.632757421195e-01       5.820130215363e+02 
       3.756013151463e-01       5.469625066014e+02 
       3.883860662535e-01       5.124147696905e+02 
       4.016554441774e-01       4.769761630995e+02 
