###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# Time needed for this computation [in s]: 827.7739899158478
# Range of interest:
# 	 s_min = 2312.577431755554 h_0^{-1} Mpc
# 	 s_max = 3054.4830200675647 h_0^{-1} Mpc
# The keyword arguments were:
# 	 alg = :trap 	 llim = nothing 	 rlim = nothing
# 	 rtol = 0.01 	 atol = 0.0 	 N = 1000 	 pr = true
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
0.0	 -1.0 	 0.0
0.0	 -0.9995918367346939 	 2.1168704249146423e11
0.0	 -0.9991836734693877 	 2.1075976534016522e11
0.0	 -0.9987755102040816 	 2.1116232556378918e11
0.0	 -0.9983673469387755 	 2.1130486651082675e11
0.0	 -0.9979591836734694 	 2.1239718676538416e11
0.0	 -0.9975510204081632 	 2.10875390383995e11
0.0	 -0.9971428571428571 	 2.1078854027877505e11
0.0	 -0.996734693877551 	 2.1104815424998935e11
0.0	 -0.9963265306122449 	 2.1149277650850513e11
0.0	 -0.9959183673469387 	 2.1589900412837732e11
0.0	 -0.9955102040816326 	 2.1190638550798022e11
0.0	 -0.9951020408163266 	 2.1110902275767987e11
0.0	 -0.9946938775510205 	 2.1150215972807452e11
0.0	 -0.9942857142857143 	 2.1999481729097717e11
0.0	 -0.9938775510204082 	 2.1270882286825003e11
0.0	 -0.9934693877551021 	 2.110202526600866e11
0.0	 -0.993061224489796 	 2.1099047217323178e11
0.0	 -0.9926530612244898 	 2.1135092730557043e11
0.0	 -0.9922448979591837 	 2.1300946437933777e11
0.0	 -0.9918367346938776 	 2.121726973891026e11
0.0	 -0.9914285714285714 	 2.114023423018808e11
0.0	 -0.9910204081632653 	 2.1138063068372952e11
0.0	 -0.9906122448979592 	 2.1201261270294412e11
0.0	 -0.990204081632653 	 2.119558461420462e11
0.0	 -0.9897959183673469 	 2.1103669541718564e11
0.0	 -0.9893877551020408 	 2.1161867916567532e11
0.0	 -0.9889795918367347 	 2.1153660121086166e11
0.0	 -0.9885714285714285 	 2.1160363795148074e11
0.0	 -0.9881632653061224 	 2.150839992668932e11
0.0	 -0.9877551020408163 	 2.1104852092741867e11
0.0	 -0.9873469387755102 	 2.1218470449480127e11
0.0	 -0.986938775510204 	 2.1395060290333005e11
0.0	 -0.9865306122448979 	 2.1158566769737622e11
0.0	 -0.9861224489795918 	 2.1136888683963425e11
0.0	 -0.9857142857142858 	 2.11493267271937e11
0.0	 -0.9853061224489796 	 2.1182338037388205e11
0.0	 -0.9848979591836735 	 2.113574956630238e11
0.0	 -0.9844897959183674 	 2.1128948424099496e11
0.0	 -0.9840816326530613 	 2.119697233069518e11
0.0	 -0.9836734693877551 	 2.1178517192438055e11
0.0	 -0.983265306122449 	 2.1151731900047333e11
0.0	 -0.9828571428571429 	 2.112466073988603e11
0.0	 -0.9824489795918367 	 2.1127728720682562e11
0.0	 -0.9820408163265306 	 2.112081118996482e11
0.0	 -0.9816326530612245 	 2.12005379151478e11
0.0	 -0.9812244897959184 	 2.1124923368018866e11
