###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
100.0	 -0.3 	 2.0149053025447015e11
100.0	 -0.25 	 2.0347873469363657e11
100.0	 -0.2 	 2.0351541432308472e11
100.0	 -0.15 	 2.0541544455964285e11
100.0	 -0.1 	 2.0763103544357178e11
100.0	 -0.05 	 2.0748329499387192e11
100.0	 0.0 	 2.073896890117139e11
100.0	 0.05 	 2.074916569980196e11
100.0	 0.1 	 2.0431688857531796e11
100.0	 0.15 	 2.0404060702812305e11
100.0	 0.2 	 2.0079430530682812e11
100.0	 0.25 	 2.0074832849397382e11
100.0	 0.3 	 1.9744137419639325e11
100.0	 0.35 	 1.9759234789701276e11
100.0	 0.4 	 1.943585877268347e11
100.0	 0.45 	 1.9120106041402457e11
100.0	 0.5 	 1.9121899554825595e11
100.0	 0.55 	 1.880760864612022e11
100.0	 0.6 	 1.879970230461159e11
100.0	 0.65 	 1.8510634450031168e11
100.0	 0.7 	 1.850910698849464e11
100.0	 0.75 	 1.8188651190120126e11
100.0	 0.8 	 1.8242764083590894e11
100.0	 0.85 	 1.7917199850924225e11
100.0	 0.9 	 1.7940631244056418e11
100.0	 0.91 	 1.7944408929642484e11
100.0	 0.92 	 1.7670469735332315e11
100.0	 0.93 	 1.7622633368573367e11
100.0	 0.94 	 1.7637749960169778e11
100.0	 0.95 	 1.761810181738645e11
100.0	 0.96 	 1.7626660454438113e11
100.0	 0.97 	 1.762729862497002e11
100.0	 0.98 	 1.765283026114276e11
100.0	 0.99 	 1.763652050871368e11
100.0	 1.0 	 0.0
150.0	 -1.0 	 0.0
150.0	 -0.99 	 1.7583519582428937e11
150.0	 -0.98 	 1.7591322501254163e11
150.0	 -0.97 	 1.7779983623710526e11
150.0	 -0.96 	 1.777365910075311e11
150.0	 -0.95 	 1.7761999605840826e11
150.0	 -0.94 	 1.777785522279948e11
150.0	 -0.93 	 1.7743484107303833e11
150.0	 -0.92 	 1.7805057261646384e11
150.0	 -0.91 	 1.79757676427289e11
150.0	 -0.9 	 1.7967661352712866e11
150.0	 -0.85 	 1.814496942653864e11
150.0	 -0.8 	 1.8109201535320596e11
150.0	 -0.75 	 1.8286965013698468e11
150.0	 -0.7 	 1.850519408052358e11
150.0	 -0.65 	 1.8703385002617218e11
150.0	 -0.6 	 1.886066990473894e11
150.0	 -0.55 	 1.9086536459093564e11
150.0	 -0.5 	 1.9277828081895392e11
150.0	 -0.45 	 1.9275402214800665e11
150.0	 -0.4 	 1.9465491940772205e11
150.0	 -0.35 	 1.9658643175108698e11
150.0	 -0.3 	 1.9841931820835593e11
150.0	 -0.25 	 2.0039636694643198e11
150.0	 -0.2 	 2.0235820065105115e11
150.0	 -0.15 	 2.023179379992225e11
150.0	 -0.1 	 2.045221132614786e11
150.0	 -0.05 	 2.06293081805053e11
150.0	 0.0 	 2.0619677352864108e11
150.0	 0.05 	 2.030026184828986e11
150.0	 0.1 	 1.9986179833839124e11
150.0	 0.15 	 1.9960406526060303e11
150.0	 0.2 	 1.964211445757378e11
150.0	 0.25 	 1.9313505379820935e11
150.0	 0.3 	 1.8990675555758206e11
150.0	 0.35 	 1.8687557973133655e11
150.0	 0.4 	 1.8691570690033755e11
150.0	 0.45 	 1.83847398337561e11
150.0	 0.5 	 1.8073065938407266e11
150.0	 0.55 	 1.7767157242763788e11
150.0	 0.6 	 1.745317503354647e11
150.0	 0.65 	 1.748725148315008e11
150.0	 0.7 	 1.717747322549341e11
150.0	 0.75 	 1.6872909755852866e11
150.0	 0.8 	 1.6620280395939227e11
150.0	 0.85 	 1.6313049357846014e11
150.0	 0.9 	 1.6342951004378488e11
150.0	 0.91 	 1.6347121218617917e11
150.0	 0.92 	 1.6080676674572116e11
150.0	 0.93 	 1.6041476224403934e11
150.0	 0.94 	 1.6056097096497284e11
150.0	 0.95 	 1.6040823217201193e11
150.0	 0.96 	 1.6053042378420462e11
150.0	 0.97 	 1.6056941493596014e11
150.0	 0.98 	 1.5779132317950812e11
150.0	 0.99 	 1.5769526130769293e11
150.0	 1.0 	 0.0
200.0	 -1.0 	 0.0
200.0	 -0.99 	 1.645643282560417e11
200.0	 -0.98 	 1.6452328857963245e11
200.0	 -0.97 	 1.6426678702486725e11
200.0	 -0.96 	 1.6638281939259164e11
200.0	 -0.95 	 1.662663913839909e11
200.0	 -0.94 	 1.6638580886829315e11
200.0	 -0.93 	 1.6601650692684592e11
200.0	 -0.92 	 1.66584535160039e11
200.0	 -0.91 	 1.6838024845784204e11
200.0	 -0.9 	 1.6819230764729526e11
200.0	 -0.85 	 1.6999752012105402e11
200.0	 -0.8 	 1.717744114915952e11
200.0	 -0.75 	 1.7356724066743912e11
200.0	 -0.7 	 1.7792623275590692e11
200.0	 -0.65 	 1.7984949741085834e11
200.0	 -0.6 	 1.81456674492601e11
200.0	 -0.55 	 1.8372482146790384e11
200.0	 -0.5 	 1.856168683359524e11
200.0	 -0.45 	 1.8764446078956967e11
200.0	 -0.4 	 1.895371827281615e11
200.0	 -0.35 	 1.9343096805248395e11
200.0	 -0.3 	 1.9528782466562e11
200.0	 -0.25 	 1.9726329719254587e11
200.0	 -0.2 	 1.991892117219039e11
200.0	 -0.15 	 2.0110138458461346e11
200.0	 -0.1 	 2.032966207145918e11
200.0	 -0.05 	 2.0505578366081302e11
200.0	 0.0 	 2.049722075042535e11
200.0	 0.05 	 2.018046910455093e11
200.0	 0.1 	 1.9869135760285583e11
200.0	 0.15 	 1.9517898923598004e11
200.0	 0.2 	 1.8886242746042072e11
200.0	 0.25 	 1.8564887375419467e11
200.0	 0.3 	 1.8250018180780255e11
200.0	 0.35 	 1.7954631535888434e11
200.0	 0.4 	 1.7644233181242535e11
200.0	 0.45 	 1.734932767152723e11
200.0	 0.5 	 1.704901170771558e11
200.0	 0.55 	 1.6753278640482175e11
200.0	 0.6 	 1.6452146674318512e11
200.0	 0.65 	 1.618246404622256e11
200.0	 0.7 	 1.5884866963945566e11
200.0	 0.75 	 1.5595505358640442e11
200.0	 0.8 	 1.53532073037957e11
200.0	 0.85 	 1.5060983594352676e11
200.0	 0.9 	 1.4798627150836526e11
200.0	 0.91 	 1.4802895583631863e11
200.0	 0.92 	 1.4543517456346646e11
200.0	 0.93 	 1.451222496815914e11
200.0	 0.94 	 1.4526108940539304e11
200.0	 0.95 	 1.4514862829042456e11
200.0	 0.96 	 1.452978779157352e11
200.0	 0.97 	 1.4241586338935062e11
200.0	 0.98 	 1.4268914547971854e11
200.0	 0.99 	 1.426477346147894e11
200.0	 1.0 	 0.0
250.0	 -1.0 	 0.0
250.0	 -0.99 	 1.5054607023308765e11
250.0	 -0.98 	 1.5275772465348886e11
250.0	 -0.97 	 1.5253027223930807e11
250.0	 -0.96 	 1.5233770668915454e11
250.0	 -0.95 	 1.5455050635001404e11
250.0	 -0.94 	 1.5463485955569766e11
250.0	 -0.93 	 1.5424792133534744e11
250.0	 -0.92 	 1.5707989878172495e11
250.0	 -0.91 	 1.5665701206555505e11
250.0	 -0.9 	 1.5637880899192508e11
250.0	 -0.85 	 1.6048781099574026e11
250.0	 -0.8 	 1.6227735606162955e11
250.0	 -0.75 	 1.662907610166878e11
250.0	 -0.7 	 1.685538111494749e11
250.0	 -0.65 	 1.7259330699468103e11
250.0	 -0.6 	 1.7423690658230167e11
250.0	 -0.55 	 1.7651599159190192e11
250.0	 -0.5 	 1.8046676041700522e11
250.0	 -0.45 	 1.8252293061080896e11
250.0	 -0.4 	 1.8643477469512e11
250.0	 -0.35 	 1.8829487390673447e11
250.0	 -0.3 	 1.921670103203593e11
250.0	 -0.25 	 1.941408371261827e11
250.0	 -0.2 	 1.9603266977700983e11
250.0	 -0.15 	 1.9988444648454254e11
250.0	 -0.1 	 2.0207095133541208e11
250.0	 -0.05 	 2.03818918753265e11
250.0	 0.0 	 2.0047606908771722e11
250.0	 0.05 	 1.973526994547769e11
250.0	 0.1 	 1.9428557797155588e11
250.0	 0.15 	 1.876161738985803e11
250.0	 0.2 	 1.8460432862954898e11
250.0	 0.25 	 1.814422426820486e11
250.0	 0.3 	 1.7523549148702844e11
250.0	 0.35 	 1.723571014256829e11
250.0	 0.4 	 1.6930268204496802e11
250.0	 0.45 	 1.63401862395577e11
250.0	 0.5 	 1.605074896009014e11
250.0	 0.55 	 1.576489685649717e11
250.0	 0.6 	 1.5178160346973022e11
250.0	 0.65 	 1.4917760970416922e11
250.0	 0.7 	 1.463171379989976e11
250.0	 0.75 	 1.4356561126467276e11
250.0	 0.8 	 1.3833254241421884e11
250.0	 0.85 	 1.3556654876481364e11
250.0	 0.9 	 1.3308010773342302e11
250.0	 0.91 	 1.331230945246512e11
250.0	 0.92 	 1.3059736667026453e11
250.0	 0.93 	 1.3035546294645453e11
250.0	 0.94 	 1.3048593530270027e11
250.0	 0.95 	 1.275650261263405e11
250.0	 0.96 	 1.2773127992254945e11
250.0	 0.97 	 1.2781239115754811e11
250.0	 0.98 	 1.2808770412300433e11
250.0	 0.99 	 1.252565731774964e11
250.0	 1.0 	 0.0
300.0	 -1.0 	 0.0
300.0	 -0.99 	 1.3839395355529462e11
300.0	 -0.98 	 1.3818346900372418e11
300.0	 -0.97 	 1.4038109581178314e11
300.0	 -0.96 	 1.4016655198449765e11
300.0	 -0.95 	 1.4245596564002863e11
300.0	 -0.94 	 1.4250848794450397e11
300.0	 -0.93 	 1.4211214216119397e11
300.0	 -0.92 	 1.4497333093807654e11
300.0	 -0.91 	 1.4456856883905957e11
300.0	 -0.9 	 1.4422996161950052e11
300.0	 -0.85 	 1.484602670737569e11
300.0	 -0.8 	 1.5258909612967392e11
300.0	 -0.75 	 1.5668310724302896e11
300.0	 -0.7 	 1.6119387947967242e11
300.0	 -0.65 	 1.6307299140280563e11
300.0	 -0.6 	 1.669325683135758e11
300.0	 -0.55 	 1.713513982355415e11
300.0	 -0.5 	 1.7529118785059482e11
300.0	 -0.45 	 1.7735036029879663e11
300.0	 -0.4 	 1.81295494949102e11
300.0	 -0.35 	 1.851589240706324e11
300.0	 -0.3 	 1.890433141187639e11
300.0	 -0.25 	 1.9101454124795352e11
300.0	 -0.2 	 1.948249853650844e11
300.0	 -0.15 	 1.9866407449264362e11
300.0	 -0.1 	 2.0084445447869485e11
300.0	 -0.05 	 2.025892477605182e11
300.0	 0.0 	 1.992752406459e11
300.0	 0.05 	 1.92955501625712e11
300.0	 0.1 	 1.899527078924853e11
300.0	 0.15 	 1.8335280692275198e11
300.0	 0.2 	 1.772838191768653e11
300.0	 0.25 	 1.7419375245709174e11
300.0	 0.3 	 1.681228693313666e11
300.0	 0.35 	 1.6532152098948434e11
300.0	 0.4 	 1.5933925868094315e11
300.0	 0.45 	 1.5358923822818225e11
300.0	 0.5 	 1.508009552159011e11
300.0	 0.55 	 1.4512646536952695e11
300.0	 0.6 	 1.4235293249523172e11
300.0	 0.65 	 1.3694222143712193e11
300.0	 0.7 	 1.3418683627627971e11
300.0	 0.75 	 1.28745916987807e11
300.0	 0.8 	 1.2651046286189377e11
300.0	 0.85 	 1.2108143104552257e11
300.0	 0.9 	 1.1871464935296146e11
300.0	 0.91 	 1.159967136240036e11
300.0	 0.92 	 1.1628792373479405e11
300.0	 0.93 	 1.1611775029169788e11
300.0	 0.94 	 1.1623613578515974e11
300.0	 0.95 	 1.1343889345716064e11
300.0	 0.96 	 1.1361851620511404e11
300.0	 0.97 	 1.137138941275307e11
300.0	 0.98 	 1.1124495394154787e11
300.0	 0.99 	 1.1128108185229178e11
300.0	 1.0 	 0.0
350.0	 -1.0 	 0.0
350.0	 -0.99 	 1.2582564489332916e11
350.0	 -0.98 	 1.255794638373181e11
350.0	 -0.97 	 1.2780059034645218e11
350.0	 -0.96 	 1.2761219851919702e11
350.0	 -0.95 	 1.2748735291912466e11
350.0	 -0.94 	 1.2999656554342537e11
350.0	 -0.93 	 1.2959928807340395e11
350.0	 -0.92 	 1.324899213565955e11
350.0	 -0.91 	 1.321048916794604e11
350.0	 -0.9 	 1.3417629027716766e11
350.0	 -0.85 	 1.3848739707945883e11
350.0	 -0.8 	 1.4270556029998642e11
350.0	 -0.75 	 1.468848071361335e11
350.0	 -0.7 	 1.5145583104149368e11
350.0	 -0.65 	 1.5561593984570844e11
350.0	 -0.6 	 1.5954296848541364e11
350.0	 -0.55 	 1.6400842636137875e11
350.0	 -0.5 	 1.6797958679059128e11
350.0	 -0.45 	 1.742067816319907e11
350.0	 -0.4 	 1.7817352489019553e11
350.0	 -0.35 	 1.8203287954467648e11
350.0	 -0.3 	 1.8591849516895615e11
350.0	 -0.25 	 1.8983446758525278e11
350.0	 -0.2 	 1.9362263384887204e11
350.0	 -0.15 	 1.955541954222461e11
350.0	 -0.1 	 1.9961726257748944e11
350.0	 -0.05 	 2.0136552984205664e11
350.0	 0.0 	 1.948616812466649e11
350.0	 0.05 	 1.8861274150680417e11
350.0	 0.1 	 1.8568680161131268e11
350.0	 0.15 	 1.79153303415744e11
350.0	 0.2 	 1.7317439730041043e11
350.0	 0.25 	 1.6709040400601294e11
350.0	 0.3 	 1.611551049835613e11
350.0	 0.35 	 1.5545425577694464e11
350.0	 0.4 	 1.496566025534841e11
350.0	 0.45 	 1.4694488062773236e11
350.0	 0.5 	 1.4135248006565512e11
350.0	 0.55 	 1.3585492696306503e11
350.0	 0.6 	 1.3034708748846774e11
350.0	 0.65 	 1.2509854609342154e11
350.0	 0.7 	 1.2244132874063948e11
350.0	 0.75 	 1.1721250060674463e11
350.0	 0.8 	 1.123313296173726e11
350.0	 0.85 	 1.0712890543195639e11
350.0	 0.9 	 1.0486737478738695e11
350.0	 0.91 	 1.0224526821149495e11
350.0	 0.92 	 1.0249390700486012e11
350.0	 0.93 	 1.0238711810416718e11
350.0	 0.94 	 9.983958006472772e10
350.0	 0.95 	 9.981231210706715e10
350.0	 0.96 	 9.9998974154903e10
350.0	 0.97 	 9.746254255262874e10
350.0	 0.98 	 9.771944789498058e10
350.0	 0.99 	 9.77791263309533e10
350.0	 1.0 	 0.0
400.0	 -1.0 	 0.0
400.0	 -0.99 	 1.1022012116744684e11
400.0	 -0.98 	 1.1257597549093808e11
400.0	 -0.97 	 1.1224756147607632e11
400.0	 -0.96 	 1.1467652777814331e11
400.0	 -0.95 	 1.1454688685295421e11
400.0	 -0.94 	 1.1711394258995715e11
400.0	 -0.93 	 1.167242033758533e11
400.0	 -0.92 	 1.1964599135398679e11
400.0	 -0.91 	 1.1928475676793288e11
400.0	 -0.9 	 1.2142026413947081e11
400.0	 -0.85 	 1.2587058599688399e11
400.0	 -0.8 	 1.3263918234372163e11
400.0	 -0.75 	 1.3691281234869131e11
400.0	 -0.7 	 1.438610216421222e11
400.0	 -0.65 	 1.4808593715093356e11
400.0	 -0.6 	 1.54298120531864e11
400.0	 -0.55 	 1.5877909889353906e11
400.0	 -0.5 	 1.6275054937817624e11
400.0	 -0.45 	 1.689956905464886e11
400.0	 -0.4 	 1.7301375759841876e11
400.0	 -0.35 	 1.7690505771585663e11
400.0	 -0.3 	 1.828037126100699e11
400.0	 -0.25 	 1.8671911578857767e11
400.0	 -0.2 	 1.9051731312078525e11
400.0	 -0.15 	 1.962187215907713e11
400.0	 -0.1 	 2.002341743665495e11
