###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
200.0	 -0.95 	 1.849155432251777e9
200.0	 -0.94 	 1.8529419087334838e9
200.0	 -0.93 	 1.8631876777338355e9
200.0	 -0.92 	 1.853211439886824e9
200.0	 -0.91 	 1.86081078334678e9
200.0	 -0.9 	 1.8722924930202136e9
200.0	 -0.85 	 1.9136949262050226e9
200.0	 -0.8 	 1.9374239611128602e9
200.0	 -0.75 	 1.9702790421228845e9
200.0	 -0.7 	 1.995717312268273e9
200.0	 -0.65 	 2.0138692741164439e9
200.0	 -0.6 	 2.0075184463763988e9
200.0	 -0.55 	 2.005052859071975e9
200.0	 -0.5 	 2.0053980344608803e9
200.0	 -0.45 	 2.0140916201199367e9
200.0	 -0.4 	 2.012980328787279e9
200.0	 -0.35 	 2.0154180032982295e9
200.0	 -0.3 	 2.0192608513108926e9
200.0	 -0.25 	 2.024882773889487e9
200.0	 -0.2 	 2.0296929998979146e9
200.0	 -0.15 	 1.9719012522828271e9
200.0	 -0.1 	 1.85186750512278e9
200.0	 -0.05 	 1.7976666842700033e9
200.0	 0.0 	 1.6859211777576113e9
200.0	 0.05 	 1.580969257163883e9
200.0	 0.1 	 1.4792818815856276e9
200.0	 0.15 	 1.4329527432856133e9
200.0	 0.2 	 1.3399156490419776e9
200.0	 0.25 	 1.297803864872104e9
200.0	 0.3 	 1.2112754684943323e9
200.0	 0.35 	 1.1276769928072412e9
200.0	 0.4 	 1.0905646542089605e9
200.0	 0.45 	 1.0149970418628032e9
200.0	 0.5 	 9.773344428379579e8
200.0	 0.55 	 9.453386702638838e8
200.0	 0.6 	 8.758256245029258e8
200.0	 0.65 	 8.476953732881784e8
200.0	 0.7 	 8.155919926051426e8
200.0	 0.75 	 7.550152323967863e8
200.0	 0.8 	 7.276311435426875e8
200.0	 0.85 	 7.02484707826914e8
200.0	 0.9 	 6.805798365699911e8
200.0	 0.91 	 6.495544149687015e8
200.0	 0.92 	 6.534188046185498e8
200.0	 0.93 	 6.548171002710133e8
200.0	 0.94 	 6.600253857476722e8
200.0	 0.95 	 6.283024461516862e8
200.0	 0.96 	 6.319707330870395e8
200.0	 0.97 	 6.352513303697851e8
200.0	 0.98 	 6.454769111439526e8
200.0	 0.99 	 6.44192681938983e8
200.0	 1.0 	 0.0
250.0	 -1.0 	 0.0
250.0	 -0.99 	 1.5665927319716606e9
250.0	 -0.98 	 1.5910066295903785e9
250.0	 -0.97 	 1.6079023481643562e9
250.0	 -0.96 	 1.6111201661899009e9
250.0	 -0.95 	 1.6234322579031823e9
250.0	 -0.94 	 1.6280648356567245e9
250.0	 -0.93 	 1.6630956788836327e9
250.0	 -0.92 	 1.671855572746555e9
250.0	 -0.91 	 1.6812775280604482e9
250.0	 -0.9 	 1.7113591699049146e9
250.0	 -0.85 	 1.7936404983439486e9
250.0	 -0.8 	 1.9068186946628246e9
250.0	 -0.75 	 1.8970475124286716e9
250.0	 -0.7 	 1.8951007795363193e9
250.0	 -0.65 	 1.8972799581340065e9
250.0	 -0.6 	 1.8961983004936078e9
250.0	 -0.55 	 1.8979731146171224e9
250.0	 -0.5 	 1.9028790871828933e9
250.0	 -0.45 	 1.9151008261257184e9
250.0	 -0.4 	 1.9178247296588554e9
250.0	 -0.35 	 1.9238515387872682e9
250.0	 -0.3 	 1.9299573791517837e9
250.0	 -0.25 	 1.9402468777788637e9
250.0	 -0.2 	 1.8852286972600164e9
250.0	 -0.15 	 1.773950657722927e9
