# Integrands of the sigma_i: q^(2-i) * P(q) / (2 pi^2)
# Input Power Spectrum: WideA_ZA_pk.dat
# q 	 integrand_i=0 	 integrand_i=1 	 integrand_i=2 	 integrand_i=3 	 integrand_i=4
1.0e-7 	 2.9078444528007506e-16 	 2.9078444528007508e-9 	 0.029078444528007508 	 290784.4452800751 	 2.907844452800751e12
1.0655379505623064e-7 	 3.5089338081843254e-16 	 3.2931101199470076e-9 	 0.030905610806345896 	 290047.0207563829 	 2.7220712373812593e12
1.1353711240885178e-7 	 4.2342761691945817e-16 	 3.72942034490606e-9 	 0.0328475884737694 	 289311.4663290352 	 2.5481664998420317e12
1.2097810206889013e-7 	 5.109556251870861e-16 	 4.223538115155138e-9 	 0.03491159179162915 	 288577.7772554986 	 2.3853719997290913e12
1.2890675894140271e-7 	 6.16576813788663e-16 	 4.783122458838182e-9 	 0.03710528833489989 	 287845.94880526693 	 2.2329779382329624e12
1.3735504373605122e-7 	 7.440312789639593e-16 	 5.416847162844122e-9 	 0.039436827476488044 	 287115.9762598304 	 2.0903198634013599e12
1.4635701180190799e-7 	 8.978322436018391e-16 	 6.134535220062033e-9 	 0.04191487066137312 	 286387.8549126452 	 1.9567757730683025e12
1.5594895040582833e-7 	 1.0834258725971647e-15 	 6.947311089800535e-9 	 0.044548623583047155 	 285661.5800691033 	 1.8317634028681938e12
1.6616952500776907e-7 	 1.3073841241253939e-15 	 7.86777313147082e-9 	 0.04734787038178613 	 284937.1470465023 	 1.7147376875102722e12
1.770599351226898e-7 	 1.5776374657896328e-15 	 8.910188884325772e-9 	 0.05032300999179544 	 284214.55117401463 	 1.6051883842444333e12
1.8866408039732582e-7 	 1.9037556962290536e-15 	 1.0090716220171595e-8 	 0.05348509477225651 	 283493.7877926583 	 1.5026378481564773e12
2.0102873757128875e-7 	 2.2972868162144933e-15 	 1.1427653797009147e-8 	 0.056845871565783856 	 282774.85225526616 	 1.406638949592909e12
2.142037490358383e-7 	 2.7721659488171636e-15 	 1.2941724695739822e-8 	 0.06041782533682242 	 282057.7399264564 	 1.31677312463502e12
2.2824222375040976e-7 	 3.3452087887069844e-15 	 1.4656397636421025e-8 	 0.06421422555209709 	 281342.44618260214 	 1.2326485501221687e12
2.43200751326795e-7 	 4.036707053853399e-15 	 1.659825075305452e-8 	 0.06824917547541222 	 280628.9664118022 	 1.153898435267225e12
2.591396301439657e-7 	 4.8711470248552614e-15 	 1.879738356556688e-8 	 0.07253766455992834 	 279917.2960138511 	 1.0801794224154072e12
2.7612311041307533e-7 	 5.8780766157172174e-15 	 2.1287883534716518e-8 	 0.07709562413254804 	 279207.4304002093 	 1.0111700899737075e12
2.942196531724377e-7 	 7.0931516794585395e-15 	 2.4108354431718913e-8 	 0.08193998657727113 	 278499.36499397387 	 9.465695509835626e11
3.135022062565112e-7 	 8.559398598731306e-15 	 2.7302514712537317e-8 	 0.08708874823738266 	 277793.0952298486 	 8.860961412263715e11
3.3404849835132445e-7 	 1.0328737870378726e-14 	 3.091987517188542e-8 	 0.09256103627014803 	 277088.6165541149 	 8.294861911419106e11
3.559413523216862e-7 	 1.2463822634782824e-14 	 3.501650638085596e-8 	 0.09837717970237236 	 276385.9244246025 	 7.764928762051099e11
