###############
#    GaPSE    #
############### 
#
# The Cosmology considered had the following paremeters:
# 
# - Matter Power Spectrum input file: "../test/datatest/file_pk.txt"
# - Background data input file: "../data/WideA_ZA_background.dat"
# - F window function input file: "../data/F_REFERENCE_pi2.txt"
# - Integrated F window function input file: "../data/IntegrF_REFERENCE_pi2_z115.txt"
#
# - Basic CosmoParams considered: 
#	 z_min = 1.0 	 z_max = 1.5
#	 θ_max = 1.5707963267948966 [rad] 	 h_0 = 0.7
#	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
#	 b = 1.5 	 f_evo = 0.0 	 s_b = 0.0
#
# - CosmoParams about the Input Power Spectrum: 
#	 fit_left_min = 1.0e-6 	 fit_right_min = 10.0 	 
#	 fit_left_max = 3.0e-6 	 fit_right_max = 20.0 	 
#
# - CosmoParams about the Input Power Spectrum Tools: 
#	 k_max = 10.0 	 fit_max = 0.5 	 N = 1024 	 
#	 con = true 	 k_min = 1.0e-8 	 fit_min = 0.05 	 
#
# - Computed quantities: 
# 	 effective redshift z_eff = 1.2613556177172358 
# 	 comoving s_min = 2312.5774317555542 Mpc/h_0
# 	 comoving s_max = 3054.483020067565 Mpc/h_0
# 	 comoving s_eff = 2725.877200832351 Mpc/h_0
# 	 Volume of the survey V_survey = 3.3783056930052956e10 Mpc^3/h_0^3
# 	 σ_0 = 15.593462966741178
# 	 σ_1 = 15.074895881392285
# 	 σ_2 = 100.85852368830226
# 	 σ_3 = 3735.1226181519773
# 	 σ_4 = 3.415930015488999e6
# 	 (where σ_i = \int_{k_{min}}^{k_{max}}\frac{dq}{2 π^2} q^{2-i} P(q))
# 
#
#
#
# LIST = auto_newton + auto_lensing + lensing_newton + newton_lensing + doppler_newton + newton_doppler + doppler_lensing + lensing_doppler + newton_integratedgp + integratedgp_newton
# k 	 P_0^{ppg} 	 P_0^{GNCsum} 	 P_0^{S} 	 P_0^{GNCsum - LIST}
0.00016369382206909115 	 14885.890258694653 	 16134.48948920483 	  355.8869887271795 	 804.2485422323942 
0.00016657867325727587 	 14886.291539772657 	 16134.75949904041 	  355.75109253892896 	 803.7563441633927 
0.00016951436549903702 	 14886.70719292305 	 16135.039282808526 	  355.6104926558878 	 803.2472038181949 
0.00017250179478954422 	 14887.136728561287 	 16135.328204124316 	  355.46503149797877 	 802.7205612387953 
0.0001755418729144996 	 14887.581531879672 	 16135.627448158762 	  355.3145459573338 	 802.1758362623634 
0.00017863552772842304 	 14888.041855868729 	 16135.93713216641 	  355.15886781317647 	 801.6124289081039 
0.00018178370343783885 	 14888.517653615307 	 16136.257025856388 	  354.9978236202162 	 801.0297291280367 
0.00018498736088945543 	 14889.010552734682 	 16136.588550974537 	  354.8312350923492 	 800.4270975650256 
0.0001882474778634232 	 14889.520081775887 	 16136.931095279202 	  354.65891715116175 	 799.8038853538181 
0.00019156504937175922 	 14890.047257723161 	 16137.285438781655 	  354.4806808868176 	 799.1594200208024 
0.00019494108796203375 	 14890.592974337596 	 16137.652296435763 	  354.2963298001728 	 798.4930082081149 
0.000198376624026406 	 14891.157059233115 	 16138.031299376522 	  354.1056627535648 	 797.8039405447333 
0.00020187270611610804 	 14891.740876518343 	 16138.423570163197 	  353.9084720119899 	 797.0914843916778 
0.00020543040126147103 	 14892.344856192545 	 16138.829346566674 	  353.7045436439665 	 796.3548843496262 
0.00020905079529758957 	 14892.969215275012 	 16139.248612211373 	  353.4936574170284 	 795.5933707429224 
0.00021273499319572815 	 14893.615524018942 	 16139.682683424408 	  353.275587053443 	 794.8061425055382 
0.00021648411940056498 	 14894.283652744169 	 16140.131226294443 	  353.050098549133 	 793.9923849816564 
0.00022029931817338274 	 14894.974702796131 	 16140.59505747063 	  352.8169527657589 	 793.1512570379992 
0.00022418175394130397 	 14895.689665760074 	 16141.074928267817 	  352.57590203690927 	 792.2818939161342 
