# This is an integration map on mu of the auto_lensing GR effect.
# The following parameters were used for this computation: 
# CLASS Power Spectrum input file : "data/WideA_ZA_pk.dat"
# k_min = 2.056154633223e-7 	 k_max = 20.22821679002
# F window function input file : "data/F_REFERENCE.txt"
# CLASS Background input file: "data/WideA_ZA_background.dat"
# 	 h_0 = 0.7 	 	 EVERYTHING IS MEASURED WITHOUT h_0!
# 	 comoving H_0 = 3.335641e-04 h_0/Mpc
# 	 growth factor D_0 = 1.0
# 	 growth rate f_0 = 0.512700
# 	 z_min = 0.05 		comoving s_min = 148.19200 Mpc/h_0
# 	 z_max = 0.2 		comoving s_max = 571.70224 Mpc/h_0
# 	 z_eff = 0.15046 	comoving s_eff = 435.37471 Mpc/h_0
# 	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
# 	 Volume of the survey V_survey = 3.845366e+08
# 	 σ_0 = 2.708e+01 	 σ_1 = 1.636e+01 	 
# 	 σ_2 = 1.011e+02 	 σ_3 = 3.735e+03 	 
# 
# computational time needed (in s) : 671.8688
# kwards passed: 
# 		χ_atol = 0.0001
# 		χ_rtol = 0.01
# 		μ_atol = 0.0001
# 		μ_rtol = 0.01
# 		Δχ_min = 1.0
# 		use_windows = false

s 	 xi 	 xi_error
0.10232929922807542 	 3.301569622121539e-7 	 2.3495355456759626e-12
0.10351421666793438 	 3.300879640147794e-7 	 7.06409543275166e-11
0.10471285480508996 	 3.300856694628396e-7 	 6.959665319938858e-11
0.10592537251772889 	 3.3008555974756804e-7 	 7.036480611222195e-11
0.10715193052376065 	 3.3008362677556425e-7 	 7.176247773466038e-11
0.10839269140212036 	 3.300816393190737e-7 	 6.898561824814076e-11
0.1096478196143185 	 3.300796552334262e-7 	 6.930703146779127e-11
0.11091748152624012 	 3.30078087145549e-7 	 6.89723910392015e-11
0.11220184543019636 	 3.300753812328775e-7 	 6.804143761546255e-11
0.11350108156723152 	 3.300727566778648e-7 	 6.790745739349013e-11
0.1148153621496883 	 3.3007089802615714e-7 	 6.766440584432542e-11
0.11614486138403426 	 3.300682822101657e-7 	 6.8067483366685e-11
0.11748975549395298 	 3.300656085589495e-7 	 6.789216515706853e-11
0.11885022274370183 	 3.300019972592294e-7 	 1.2897515530185811e-10
0.12022644346174127 	 3.300001925790969e-7 	 1.2715560084974876e-10
0.12161860006463679 	 3.2999703299792535e-7 	 1.247556810227146e-10
0.12302687708123815 	 3.299946673937151e-7 	 1.23753650209113e-10
0.1244514611771385 	 3.299927282669342e-7 	 1.2482270556130048e-10
0.12589254117941673 	 3.2998853281237345e-7 	 1.2485534358236405e-10
0.12735030810166617 	 3.299872753038291e-7 	 1.2554482414106615e-10
0.1288249551693134 	 3.299858583905259e-7 	 1.2510085871708655e-10
0.13031667784522993 	 3.2998300968906443e-7 	 1.2533382915730362e-10
0.1318256738556407 	 3.2998329617910674e-7 	 1.2902019835930868e-10
0.1333521432163324 	 3.2998170260397793e-7 	 1.3016226476608715e-10
0.13489628825916536 	 3.299780003161715e-7 	 1.3014193571381227e-10
0.13645831365889247 	 3.299750427626096e-7 	 1.3172182516313359e-10
0.1380384264602885 	 3.299691083095019e-7 	 1.3630523597718546e-10
0.13963683610559377 	 3.2996515371794124e-7 	 1.3855964472941907e-10
0.14125375446227545 	 3.299605789921706e-7 	 1.3793381293075723e-10
0.1428893958511103 	 3.2995901897173304e-7 	 1.3773674034112115e-10
0.14454397707459277 	 3.2995450022516834e-7 	 1.3805045795362014e-10
0.14621771744567183 	 3.299532700676832e-7 	 1.3874164979760238e-10
0.14791083881682077 	 3.2994715159946454e-7 	 1.3823816246605335e-10
0.14962356560944334 	 3.2994230291184583e-7 	 1.3780498458587643e-10
0.1513561248436208 	 3.299378662089456e-7 	 1.3613448744170807e-10
0.15310874616820302 	 3.298885116459519e-7 	 9.185341379491785e-11
0.1548816618912481 	 3.2988280723057227e-7 	 9.388887054218032e-11
0.15667510701081494 	 3.298794663503671e-7 	 9.452331925224878e-11
0.15848931924611134 	 3.2975340169458676e-7 	 2.2246429857453175e-10
0.16032453906900418 	 3.297476372200436e-7 	 2.2097761789813263e-10
0.16218100973589297 	 3.297435551566677e-7 	 2.200769350212961e-10
0.16405897731995392 	 3.297369584013849e-7 	 2.185693608947603e-10
0.16595869074375605 	 3.2972422485609534e-7 	 2.1365223915437159e-10
0.16788040181225602 	 3.2971781898687157e-7 	 2.1210728578680004e-10
0.16982436524617442 	 3.297136851889068e-7 	 2.1249489683333733e-10
0.17179083871575881 	 3.297073345663803e-7 	 2.109895706117193e-10
0.17378008287493754 	 3.2949872789594425e-7 	 8.752679839130195e-12
0.17579236139586926 	 3.294929958552221e-7 	 7.431755882747471e-12
0.1778279410038923 	 3.2948805424270623e-7 	 6.220598087303131e-12
0.1798870915128788 	 3.2948048991097667e-7 	 6.403830082934991e-12
0.18197008586099836 	 3.294735905692462e-7 	 4.952606318830987e-12
0.18407720014689558 	 3.294619915887691e-7 	 1.0263501598051228e-12
0.18620871366628675 	 3.2945210383357823e-7 	 1.362333992283027e-13
0.18836490894898006 	 3.2938159451051265e-7 	 6.291646451495047e-11
0.19054607179632474 	 3.294366706747917e-7 	 1.5707771632289536e-12
0.1927524913190936 	 3.294289455123366e-7 	 2.8110329802211177e-12
0.19498445997580455 	 3.294221409307515e-7 	 2.762299724234918e-12
0.19724227361148539 	 3.2935181841395066e-7 	 6.561700807727888e-11
0.19952623149688797 	 3.2907426017548904e-7 	 1.9871241538649276e-10
