# This is an integration map on mu of the auto_doppler GR effect.
# The following parameters were used for this computation: 
# CLASS Power Spectrum input file : "data/WideA_ZA_pk.dat"
# k_min = 2.056154633223e-7 	 k_max = 10.0
# F window function input file : "data/F_REFERENCE.txt"
# CLASS Background input file: "data/WideA_ZA_background.dat"
# 	 h_0 = 0.7 	 	 EVERYTHING IS MEASURED WITHOUT h_0!
# 	 comoving H_0 = 3.335641e-04 h_0/Mpc
# 	 growth factor D_0 = 1.0
# 	 growth rate f_0 = 0.512700
# 	 z_min = 0.05 		comoving s_min = 148.19200 Mpc/h_0
# 	 z_max = 0.2 		comoving s_max = 571.70224 Mpc/h_0
# 	 z_eff = 0.15046 	comoving s_eff = 435.37471 Mpc/h_0
# 	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
# 	 Volume of the survey V_survey = 3.845366e+08
# 	 σ_0 = 1.858e+01 	 σ_1 = 1.576e+01 	 
# 	 σ_2 = 1.011e+02 	 σ_3 = 3.735e+03 	 
# 
# computational time needed (in s) : 2.1971
# kwards passed: 
# 		μ_atol = 0.0001
# 		μ_rtol = 0.001
# 		use_windows = true

s 	 xi 	 xi_error
0.10232929922807542 	 0.0036613632184387505 	 1.9716361941392506e-6
0.10351421666793438 	 0.00362221450131782 	 1.950540041968793e-6
0.10471285480508996 	 0.00358416160597772 	 1.9300338025338986e-6
0.10592537251772889 	 0.0035471856355641677 	 1.910107545402752e-6
0.10715193052376065 	 0.0035112677868317085 	 1.890750250338442e-6
0.10839269140212036 	 0.0034763872445224453 	 1.8719525824433277e-6
0.1096478196143185 	 0.0034425261317909206 	 1.8537032255247823e-6
0.11091748152624012 	 0.00340966605831619 	 1.8359945259960568e-6
0.11220184543019636 	 0.0033777882356547263 	 1.8188127910580078e-6
0.11350108156723152 	 0.0033468760380143503 	 1.8021512054062895e-6
0.1148153621496883 	 0.003316912310533319 	 1.7860010647556237e-6
0.11614486138403426 	 0.003287879670288398 	 1.7703527118475222e-6
0.11748975549395298 	 0.0032597627393037075 	 1.755196251471034e-6
0.11885022274370183 	 0.0032325455770600125 	 1.7405238079855963e-6
0.12022644346174127 	 0.0032062120291785783 	 1.7263285002882186e-6
0.12161860006463679 	 0.0031807478605235745 	 1.7126008947075207e-6
0.12302687708123815 	 0.003156138289068492 	 1.69933237919372e-6
0.1244514611771385 	 0.0031323683001539125 	 1.6865171864668582e-6
0.12589254117941673 	 0.003109424675326008 	 1.6741459418017257e-6
0.12735030810166617 	 0.003087293681839386 	 1.6622117646538754e-6
0.1288249551693134 	 0.003065961395237582 	 1.6507085498468541e-6
0.13031667784522993 	 0.0030454155166278933 	 1.6396282904496503e-6
0.1318256738556407 	 0.0030256432546744917 	 1.6289650228164874e-6
0.1333521432163324 	 0.0030066316543624345 	 1.6187095235957259e-6
0.13489628825916536 	 0.0029883692930646466 	 1.6088586773057614e-6
0.13645831365889247 	 0.0029708442316399306 	 1.5994038759648674e-6
0.1380384264602885 	 0.002954044360726097 	 1.5903397899858192e-6
0.13963683610559377 	 0.0029379590415688607 	 1.5816601223417592e-6
0.14125375446227545 	 0.002922577122516332 	 1.573358852901606e-6
0.1428893958511103 	 0.002907887260549138 	 1.5654302558946256e-6
0.14454397707459277 	 0.002893879480969653 	 1.5578687234100244e-6
0.14621771744567183 	 0.0028805433184023637 	 1.5506685583739e-6
0.14791083881682077 	 0.0028678681390451803 	 1.54382402159888e-6
0.14962356560944334 	 0.002855844542059935 	 1.537330283421852e-6
0.1513561248436208 	 0.0028444626426409637 	 1.5311814439207864e-6
0.15310874616820302 	 0.002833712406956076 	 1.5253725452867002e-6
0.1548816618912481 	 0.002823584947859958 	 1.5198988458748772e-6
0.15667510701081494 	 0.002814070877066274 	 1.5147551202034037e-6
0.15848931924611134 	 0.0028051606378365363 	 1.5099360669205454e-6
0.16032453906900418 	 0.00279684576845281 	 1.5054372366912502e-6
0.16218100973589297 	 0.002789117299695941 	 1.5012539177880627e-6
0.16405897731995392 	 0.002781966068168172 	 1.497381220174475e-6
0.16595869074375605 	 0.002775383918971391 	 1.4938143144031528e-6
0.16788040181225602 	 0.002769362201591205 	 1.4905489757499027e-6
0.16982436524617442 	 0.0027638920756193467 	 1.4875802610592928e-6
0.17179083871575881 	 0.0027589655984358225 	 1.4849038972089374e-6
0.17378008287493754 	 0.0027545743270597127 	 1.4825151923137127e-6
0.17579236139586926 	 0.002750709635369558 	 1.4804096905357937e-6
0.1778279410038923 	 0.0027473637175282556 	 1.4785830783747542e-6
0.1798870915128788 	 0.0027445282467818068 	 1.4770309006527213e-6
0.18197008586099836 	 0.0027421946870961876 	 1.475748522596632e-6
0.18407720014689558 	 0.002740355274047132 	 1.4747317617276394e-6
0.18620871366628675 	 0.0027390017079256175 	 1.4739761105028038e-6
0.18836490894898006 	 0.0027381254497602604 	 1.4734769792203224e-6
0.19054607179632474 	 0.0027377186559766906 	 1.4732301319108955e-6
0.1927524913190936 	 0.0027377729473397096 	 1.4732310396267393e-6
0.19498445997580455 	 0.002738279698910417 	 1.4734750582241532e-6
0.19724227361148539 	 0.002739230886117697 	 1.4739578370260914e-6
0.19952623149688797 	 0.0027406179366348035 	 1.474674732481958e-6
0.20183663636815607 	 0.002742432026759664 	 1.4756210422633559e-6
0.20417379446695297 	 0.0027446648655151716 	 1.4767921856170005e-6
0.20653801558105292 	 0.002747307589444048 	 1.4781834659847846e-6
0.20892961308540392 	 0.0027503510549062916 	 1.4797899107416015e-6
0.21134890398366465 	 0.0027537866048500765 	 1.481606826249049e-6
0.2137962089502232 	 0.002757604992205914 	 1.4836292637579617e-6
0.21627185237270202 	 0.0027617966577768685 	 1.4858520774932914e-6
0.21877616239495523 	 0.0027663524642831555 	 1.4882702603156304e-6
0.22130947096056375 	 0.0027712626778587128 	 1.4908785581667415e-6
0.22387211385683395 	 0.002776517241903137 	 1.49367164832438e-6
0.22646443075930595 	 0.002782106443376889 	 1.4966441216730573e-6
0.2290867652767773 	 0.002788019960343049 	 1.4997905183586227e-6
0.23173946499684786 	 0.0027942471393308443 	 1.5031050948966821e-6
0.2344228815319922 	 0.00280077761677543 	 1.5065822758772357e-6
0.23713737056616552 	 0.0028076004004246053 	 1.510215988497862e-6
0.23988329190194904 	 0.0028147041437100694 	 1.514000207853087e-6
0.24266100950824154 	 0.002822077756284646 	 1.517928952643956e-6
0.24547089156850305 	 0.0028297095078672657 	 1.5219958670353434e-6
0.24831331052955705 	 0.002837587293710471 	 1.5261944605142616e-6
0.251188643150958 	 0.002845699220914344 	 1.530518218356974e-6
0.25409727055493053 	 0.0028540327594273234 	 1.5349604731923137e-6
0.2570395782768864 	 0.002862575004931099 	 1.5395143173110455e-6
0.2600159563165272 	 0.0028713132167205347 	 1.5441726633309826e-6
0.2630267991895382 	 0.0028802340199533933 	 1.548928451141819e-6
0.26607250597988097 	 0.0028893236747017208 	 1.5537742403549828e-6
0.26915348039269155 	 0.002898568579686928 	 1.558702749158897e-6
0.2722701308077913 	 0.0029079545059585835 	 1.563706116532444e-6
0.2754228703338166 	 0.002917466863933623 	 1.5687766781353502e-6
0.2786121168629771 	 0.0029270912009734407 	 1.573906511166797e-6
0.28183829312644537 	 0.0029368124574904813 	 1.579087564452948e-6
0.2851018267503909 	 0.0029466152283445135 	 1.5843114674396474e-6
0.28840315031266056 	 0.0029564842449225737 	 1.589570013098637e-6
0.29174270140011666 	 0.002966403671663927 	 1.594854719285877e-6
0.29512092266663853 	 0.002976357367635166 	 1.6001567958722945e-6
0.29853826189179594 	 0.0029863293347918516 	 1.6054676285461938e-6
0.3019951720402016 	 0.002996303058876752 	 1.6107783229668939e-6
0.3054921113215513 	 0.0030062617779560937 	 1.6160798795509664e-6
0.30902954325135906 	 0.0030161889079802612 	 1.6213633254723163e-6
0.3126079367123955 	 0.0030260674121089493 	 1.6266194906186229e-6
0.31622776601683794 	 0.0030358800720328575 	 1.6318390179261543e-6
0.3198895109691398 	 0.0030456099109865335 	 1.637012827187391e-6
0.32359365692962827 	 0.0030552395861155575 	 1.6421315737871964e-6
0.3273406948788382 	 0.0030647516583721373 	 1.6471858147513103e-6
0.3311311214825911 	 0.0030741290066361848 	 1.6521663658528496e-6
0.33496543915782767 	 0.003083354255799788 	 1.6570638519277736e-6
0.33884415613920255 	 0.003092410052109791 	 1.6618688843183236e-6
0.34276778654645035 	 0.0031012794505025734 	 1.6665722737083116e-6
0.3467368504525316 	 0.003109945384790182 	 1.671165003145802e-6
0.350751873952568 	 0.003118390949892683 	 1.675637839223441e-6
0.35481338923357547 	 0.003126599772640419 	 1.6799819071617322e-6
0.3589219346450052 	 0.003134555510585863 	 1.6841885357249566e-6
0.36307805477010135 	 0.003142242136820403 	 1.6882489785348297e-6
0.3672823004980847 	 0.003149644308772856 	 1.692155072875721e-6
0.37153522909717257 	 0.003156746890685132 	 1.6958985179876435e-6
0.3758374042884442 	 0.0031635352365476004 	 1.699471526597108e-6
0.38018939632056115 	 0.0031699955504086055 	 1.7028666384861708e-6
0.38459178204535355 	 0.0031761144410431116 	 1.7060766473467765e-6
0.38904514499428056 	 0.003181879206177798 	 1.7090946999159086e-6
0.3935500754557774 	 0.003187278168843437 	 1.7119145140280806e-6
0.3981071705534972 	 0.0031923002665219338 	 1.714530121333496e-6
0.4027170343254591 	 0.0031969353371080664 	 1.7169360348749479e-6
0.40738027780411273 	 0.0032011744336990743 	 1.7191274616926648e-6
