# The input matter Power Spectrum as InputPS returns it,
# together with its two asymptotic power laws.
# Input file: WideA_ZA_pk.dat, tabulated on [2.056154633223e-7, 20.22821679002]
# q 	 P(q) 	 left_powerlaw 	 right_powerlaw
1.0e-8 	 0.06293628663345469 	 0.06293628663345469 	 1.2330392356060656e23
1.013918393116299e-8 	 0.06377698658711431 	 0.06377698658711431 	 1.1888365854551383e23
1.0280305078995381e-8 	 0.06462891657117278 	 0.06462891657117278 	 1.1462185355536947e23
1.0423390406440324e-8 	 0.06549222659584741 	 0.06549222659584741 	 1.1051282803042866e23
1.0568467251721823e-8 	 0.06636706867518495 	 0.06636706867518495 	 1.06551105050691e23
1.071556333356802e-8 	 0.06725359685382865 	 0.06725359685382865 	 1.0273140403571446e23
1.086470675650722e-8 	 0.0681519672341428 	 0.0681519672341428 	 9.904863370612937e22
1.1015926016237599e-8 	 0.06906233800369978 	 0.06906233800369978 	 9.549788529747274e22
1.116925000507166e-8 	 0.06998486946313409 	 0.06998486946313409 	 9.207442601729602e22
1.1324708017456474e-8 	 0.07091972405436854 	 0.07091972405436854 	 8.87736927368262e22
1.1482329755570737e-8 	 0.07186706638921751 	 0.07186706638921751 	 8.55912859087717e22
1.164214533499975e-8 	 0.07282706327837228 	 0.07282706327837228 	 8.252296370316574e22
1.1804185290489364e-8 	 0.07379988376077344 	 0.07379988376077344 	 7.956463635343157e22
1.196848058178003e-8 	 0.0747856991333758 	 0.0747856991333758 	 7.67123607051325e22
1.2135062599522036e-8 	 0.07578468298131086 	 0.07578468298131086 	 7.396233496014148e22
1.2303963171273083e-8 	 0.0767970112084521 	 0.0767970112084521 	 7.131089360922459e22
1.2475214567579327e-8 	 0.07782286206838866 	 0.07782286206838866 	 6.87545025462839e22
1.2648849508141078e-8 	 0.07886241619581279 	 0.07886241619581279 	 6.6289754357747425e22
1.2824901168064293e-8 	 0.07991585663832633 	 0.07991585663832633 	 6.391336378082779e22
1.3003403184199095e-8 	 0.08098336888867251 	 0.08098336888867251 	 6.162216332459553e22
1.3184389661566513e-8 	 0.08206514091739779 	 0.08206514091739779 	 5.94130990480305e22
1.3367895179874667e-8 	 0.08316136320595038 	 0.08316136320595038 	 5.728322648942398e22
1.3553954800125641e-8 	 0.0842722287802207 	 0.0842722287802207 	 5.5229706741705825e22
1.374260407131434e-8 	 0.08539793324452995 	 0.08539793324452995 	 5.324980266846521e22
1.3933879037220545e-8 	 0.08653867481607258 	 0.08653867481607258 	 5.134087525562164e22
1.4127816243295512e-8 	 0.0876946543598189 	 0.0876946543598189 	 4.950038009388343e22
