###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The I_l^n and their ratio to the analytic large-s asymptote
#   A / (2 pi^2) * M_l(mu) * s^-(3+n_s) ,   mu = 3 + n_s - n
# with P(q) -> A q^n_s for q -> 0 . All the ratios must tend to 1 .
#
# From the `InputPS` left fit: n_s = 0.9599997973713535 , A = 3.0123088245442463e6
# Shown only for 10.0 <= s <= 96466.16199111959 , where every I_l^n is a spline.
#
# s [h_0^{-1} Mpc] 	 I00 	 I20 	 I40 	 I02 	 I22 	 I31 	 I13 	 I11 	 I00_ratio 	 I20_ratio 	 I40_ratio 	 I02_ratio 	 I22_ratio 	 I31_ratio 	 I13_ratio 	 I11_ratio
10.174413566685583 	 0.33042572435832307 	 0.29257835618485084 	 0.22242003882863504 	 0.7427222244249034 	 0.056247845227073115 	 0.0735711992876409 	 0.2663233565496638 	 0.20766802684772456 	 -0.010989083101668977 	 0.002358879630206634 	 0.0003129137705137556 	 0.04647733247918599 	 0.0018676610517415584 	 0.0006168859003211685 	 0.017332350159589987 	 0.006630226802846954
10.502110796366663 	 0.3132695190572873 	 0.28239630421150014 	 0.21607796074712868 	 0.6908585280157398 	 0.053953176740546706 	 0.07121060927980417 	 0.2482705682515172 	 0.19855527442292914 	 -0.011812012343241562 	 0.0025813134133984314 	 0.0003446508714159745 	 0.04901421399210623 	 0.002031081441491652 	 0.000676955085255069 	 0.01831857056570489 	 0.007187176683356525
10.84036248932338 	 0.2968254749564043 	 0.27245877821728204 	 0.20984974271504153 	 0.6424558890762067 	 0.05173252700012171 	 0.06890121727604626 	 0.2313961386922056 	 0.18976141772456215 	 -0.012688931943700372 	 0.0028235837845431043 	 0.00037948576917661594 	 0.051676653176715284 	 0.0022079648487464856 	 0.0007426089736373906 	 0.0193571134770415 	 0.007787587769820996
11.189508583415885 	 0.28107264638961954 	 0.26276356863573547 	 0.20373502836685517 	 0.5972920229553514 	 0.04958427901128819 	 0.06664265671465586 	 0.21562543398955564 	 0.18127873834178498 	 -0.013622619436797025 	 0.0030873308364654916 	 0.0004177061814890082 	 0.05446981798336783 	 0.002399333454574327 	 0.0008143362075058619 	 0.0204504382749441 	 0.008434513795271294
11.549899965213484 	 0.2659903768031592 	 0.25330838508526604 	 0.1977334524578609 	 0.5551585053367012 	 0.04750682710331772 	 0.06443454822044677 	 0.20088844414755433 	 0.17309958729614175 	 -0.014615918448845194 	 0.00337431583739982 	 0.0004596248406987264 	 0.05739900342410973 	 0.0026062782357935952 	 0.0008926647302943027 	 0.021601093335363204 	 0.009131189593885952
11.921898822630393 	 0.25155824553808526 	 0.2440909215444765 	 0.19184457463178578 	 0.5158599442868402 	 0.045498577696254476 	 0.0622764994537518 	 0.18711950732828436 	 0.16521638902752053 	 -0.015671728111924358 	 0.0036864295278601343 	 0.0005055813087988107 	 0.06046962928002304 	 0.0028299627384940273 	 0.0009781645648494891 	 0.022811717699444744 	 0.009881038665085409
12.305879008919092 	 0.2377561280793071 	 0.23510881803803274 	 0.18606791647540621 	 0.47921323318604164 	 0.043557950727254276 	 0.0601681049304913 	 0.17425706130446655 	 0.15762164870577997 	 -0.016792996435469866 	 0.004025699670759038 	 0.0005559441023514184 	 0.06368724264684261 	 0.003071627031123777 	 0.001071450744382247 	 0.024085044538731136 	 0.010687681018597552
12.702226418387234 	 0.22456431433867577 	 0.22635953046533255 	 0.18040309730327397 	 0.44504673226964103 	 0.04168337901841792 	 0.0581089468240867 	 0.16224337042886333 	 0.1503079482680028 	 -0.017982719270976336 	 0.004394296764610357 	 0.000611113344645681 	 0.06705750730552296 	 0.0033325916648949444 	 0.001173186419409196 	 0.025423900057733727 	 0.011554940384589945
13.111339374215643 	 0.21196336402711016 	 0.2178404767335042 	 0.1748496874211725 	 0.4131995474236718 	 0.03987330835988889 	 0.056098594879239565 	 0.15102428526042944 	 0.1432679469202048 	 -0.019243921184886364 	 0.004794544153877803 	 0.0006715228312301269 	 0.07058619491509416 	 0.003614261759104572 	 0.0012840861185152437 	 0.026831203109857114 	 0.012486851438655107
13.533629028767072 	 0.19993408698193335 	 0.20954906724801756 	 0.1694071734383766 	 0.3835208811242151 	 0.038126198111131805 	 0.05413660581234206 	 0.14054902641118044 	 0.13649438474331696 	 -0.02057963911601436 	 0.005228927504074693 	 0.0007376423858398927 	 0.07427917871893354 	 0.0039181312184537785 	 0.0014049191619866389 	 0.028309965770886812 	 0.013487667079318217
13.969519776788154 	 0.1884576811484559 	 0.20148258576878383 	 0.16407508210087424 	 0.3558694568504052 	 0.03644052259075861 	 0.052222523981379755 	 0.13076999314690532 	 0.12998008897241325 	 -0.021992920226332213 	 0.005700100978214692 	 0.0008099810206769004 	 0.07814243481667958 	 0.004245787143652925 	 0.0015365132702079996 	 0.029863296661460648 	 0.014561865893203234
14.419449681919767 	 0.17751561529481233 	 0.1936383031630001 	 0.15885286741337176 	 0.33011289845209585 	 0.03481477086603623 	 0.050355881510910284 	 0.1216425564397293 	 0.12371797281927079 	 -0.02348679530834524 	 0.006210898710824714 	 0.0008890893660870872 	 0.08218202955882664 	 0.0045989142002604835 	 0.0016797583370696811 	 0.031494399431508426 	 0.015714158791091247
14.883870916944336 	 0.16708960416620172 	 0.18601350133017672 	 0.1537398839600655 	 0.3061271581047618 	 0.03324744661281312 	 0.048536197898606075 	 0.11312486823986442 	 0.11770103516545952 	 -0.025064253584155396 	 0.006764345641089437 	 0.0009755623949030302 	 0.08640410445197214 	 0.004979299027487836 	 0.001835610359046914 	 0.03320657040783925 	 0.016949495243372463
15.363250218212745 	 0.1571617606093146 	 0.17860532849530028 	 0.14873553103465253 	 0.2837960094702105 	 0.031737068593544415 	 0.046762979932850425 	 0.10517769268853251 	 0.11192236303487163 	 -0.02672824083661022 	 0.007363662575382178 	 0.0010700433577759693 	 0.09081486523158058 	 0.005388834753195913 	 0.0020050955380013988 	 0.035003197755827324 	 0.01827306936455433
15.858069354707283 	 0.14771457000504865 	 0.171410838649787 	 0.14383922304371388 	 0.26301059808801236 	 0.030282171863470035 	 0.04503572309907158 	 0.09776425665072053 	 0.10637513621827853 	 -0.028481638506619625 	 0.008012275848135094 	 0.0011732271932003745 	 0.09542058001904831 	 0.005829525691369039 	 0.0021893146199031296 	 0.0368877639096213 	 0.019690325976752448
16.368825612212245 	 0.13873080328028167 	 0.16442708383891433 	 0.13905029249251813 	 0.24366897587135364 	 0.028881307988844487 	 0.04335391090449038 	 0.09085009461982327 	 0.10105262903973201 	 -0.03032722555253384 	 0.008713830593292048 	 0.0012858634256081862 	 0.10022756654677348 	 0.006303491963194763 	 0.0023894473341096374 	 0.03886384416263424 	 0.021206965923010884
16.896032293078683 	 0.1301935726717679 	 0.15765105530591939 	 0.13436804472641628 	 0.22567564736689388 	 0.027533044723245904 	 0.041717014290333705 	 0.08440289736281606 	 0.09594820932589576 	 -0.032267659833151115 	 0.009472198380761063 	 0.0014087602188178824 	 0.10524216895930133 	 0.0068129739865200175 	 0.002606756979147094 	 0.04093510155833558 	 0.022828950189982638
17.4402192320855 	 0.12208636032976528 	 0.1510796564593056 	 0.12979179561383278 	 0.20894117440404367 	 0.02623596641659917 	 0.04012449315330552 	 0.07839238027298967 	 0.0910553389296903 	 -0.03430545759860596 	 0.01029148478657088 	 0.0015427887646700096 	 0.11047074157220022 	 0.007360337039391394 	 0.00284259528402906 	 0.0431052842414989 	 0.024562503337621448
18.001933328915445 	 0.11439294642535765 	 0.14470978955629027 	 0.12532078372370256 	 0.19338182206721682 	 0.024988674968681093 	 0.03857579618285614 	 0.0727901656783858 	 0.0863675786605493 	 -0.03644294463770873 	 0.011176044043631327 	 0.0016888865372682424 	 0.11591964186828928 	 0.007948075949306584 	 0.0030984073556950286 	 0.04537822609377746 	 0.026414117205336405
