###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The I_l^n computed by direct quadrature (`I_direct`), and their ratio
# to the analytic small-s asymptote sigma_{n-l} s^{l-n} / (2l+1)!! .
# All the ratios must tend to 1 for s -> 0 .
#
# s [h_0^{-1} Mpc] 	 I00 	 I20 	 I40 	 I02 	 I22 	 I31 	 I13 	 I11 	 I00_ratio 	 I20_ratio 	 I40_ratio 	 I02_ratio 	 I22_ratio 	 I31_ratio 	 I13_ratio 	 I11_ratio
1.0e-6 	 143.2850400239811 	 1.564489762603859e-6 	 1.343885352984409e-14 	 1.0112817127404284e14 	 9.552336150597766 	 2.2349853943467299e-7 	 3.370939042468422e13 	 47.76168052949043 	 1.0000000032148255 	 1.0000000164532434 	 1.0000001836617316 	 1.0000000001440905 	 1.000000018813002 	 1.00000002504317 	 1.0000000001441876 	 1.000000014133552
1.2067926406393288e-6 	 143.2850382391002 	 2.278442243642689e-6 	 2.8503147921467085e-14 	 6.9439542002710836e13 	 9.552336099601156 	 3.2549175316369027e-7 	 2.314651400090683e13 	 47.76168017251438 	 0.9999999907579707 	 0.9999999988132422 	 1.0000001694427678 	 1.0000000001439795 	 1.0000000134743487 	 1.0000000113231677 	 1.0000000001441185 	 1.000000006659442
1.4563484775012444e-6 	 143.28503563969085 	 3.318205807358871e-6 	 6.045377564069377e-14 	 4.768058131378141e13 	 9.552336025332334 	 4.74029409687522e-7 	 1.5893527104597053e13 	 47.76167965263229 	 0.9999999726164441 	 0.9999999731232516 	 1.0000001487350023 	 1.000000000143821 	 1.0000000056994107 	 0.9999999913420677 	 1.0000000001440255 	 0.9999999957745215
1.757510624854793e-6 	 143.2850318540451 	 4.832463794783126e-6 	 1.2821948525645042e-13 	 3.27398160882342e13 	 9.552335917171028 	 6.903519890003726e-7 	 1.0913272029414525e13 	 47.761678895503394 	 0.9999999461960603 	 0.9999999357096776 	 1.00000011857728 	 1.0000000001435951 	 0.9999999943763891 	 0.9999999622426181 	 1.0000000001438816 	 0.9999999799222965
2.1209508879201924e-6 	 143.28502634082682 	 7.037750906644892e-6 	 2.719472191593768e-13 	 2.248075690263201e13 	 9.552335759650475 	 1.0053930255131607e-6 	 7.493585634213776e12 	 47.76167779285939 	 0.9999999077187824 	 0.999999881222476 	 1.0000000746571303 	 1.000000000143275 	 0.9999999778861239 	 0.9999999198636845 	 1.0000000001436895 	 0.9999999568359225
2.5595479226995334e-6 	 143.28501831166045 	 1.024941700460982e-5 	 5.767866590504739e-13 	 1.543638576200699e13 	 9.55233553024572 	 1.464202511628069e-6 	 5.145461920672209e12 	 47.76167618702587 	 0.9999998516824622 	 0.9999998018701312 	 1.000000010694088 	 1.000000000142771 	 0.999999953870558 	 0.9999998581451903 	 1.000000000143395 	 0.9999999232141252
3.0888435964774785e-6 	 143.28500661839823 	 1.4926721124936961e-5 	 1.2233360626968371e-12 	 1.0599376454515445e13 	 9.552335196152416 	 2.1323889068961425e-6 	 3.533125484841669e12 	 47.761673848373185 	 0.9999997700740664 	 0.9999996863054765 	 0.9999999175416169 	 1.0000000001420657 	 0.999999918895521 	 0.9999997682615633 	 1.0000000001429676 	 0.9999998742490827
3.727593720314938e-6 	 143.2849895889371 	 2.1738503925743714e-5 	 2.594635356406997e-12 	 7.278049600251429e12 	 9.552334709596227 	 3.1055009314827197e-6 	 2.4260165334203e12 	 47.76167044248027 	 0.9999996512238278 	 0.9999995180030882 	 0.9999997818791724 	 1.000000000141053 	 0.999999867959688 	 0.9999996373596953 	 1.0000000001423541 	 0.9999998029389252
4.498432668969444e-6 	 143.28496478811337 	 3.1658829335609235e-5 	 5.503093075744279e-12 	 4.997464351889087e12 	 9.552334001001 	 4.522690691243187e-6 	 1.6658214506328865e12 	 47.7616654823143 	 0.9999994781365062 	 0.9999992728962106 	 0.9999995843074068 	 1.0000000001395393 	 0.9999997937793798 	 0.9999994467209915 	 1.0000000001414548 	 0.9999996990865065
5.428675439323859e-6 	 143.2849286694879 	 4.6106271444231284e-5 	 1.1671786786943528e-11 	 3.431503125167332e12 	 9.552332969039602 	 6.586611873716871e-6 	 1.1438343750589714e12 	 47.76165825858635 	 0.9999992260611633 	 0.9999989159352898 	 0.9999992965741349 	 1.0000000001373621 	 0.9999996857470198 	 0.9999991690846727 	 1.0000000001401546 	 0.999999547841241
6.5512855685955095e-6 	 143.2848760682138 	 6.714676331414207e-5 	 2.475527617592608e-11 	 2.356237657517332e12 	 9.552331466144816 	 9.592398295631168e-6 	 7.854125525089655e11 	 47.76164773832587 	 0.9999988589518388 	 0.9999983960760211 	 0.9999988775343612 	 1.0000000001341953 	 0.9999995284143223 	 0.9999987647495828 	 1.0000000001382545 	 0.9999993275755278
7.906043210907702e-6 	 143.2847994624969 	 9.778901248586375e-5 	 5.250469294406919e-11 	 1.6179078660824597e12 	 9.552329277407274 	 1.3969866427222394e-5 	 5.393026220306543e11 	 47.761632417170155 	 0.9999983243132111 	 0.9999976389802412 	 0.9999982672667167 	 1.0000000001295888 	 0.9999992992831915 	 0.9999981758970963 	 1.0000000001354623 	 0.999999006792093
9.540954763499944e-6 	 143.2846878980228 	 0.0001424147224239364 	 1.1135977614713415e-10 	 1.1109345675613772e12 	 9.552326089844989 	 2.0344976254816073e-5 	 3.703115225236462e11 	 47.76161010424882 	 0.9999975456940725 	 0.9999965363859665 	 0.9999973785049894 	 1.0000000001228238 	 0.9999989655886592 	 0.999997318323315 	 1.0000000001314304 	 0.9999985396200545
